office_id,term_start,holder_id,term_end,source_id
IN-S10-CM,1990-10-17,s-bangarappa,1992-11-19,src-46e657180a26
IN-S10-CM,1992-11-19,m-veerappa-moily,1994-12-11,src-46e657180a26
IN-S10-CM,1994-12-11,h-d-deve-gowda,1996-05-31,src-46e657180a26
IN-S10-CM,1996-05-31,j-h-patel,1999-10-07,src-46e657180a26
IN-S10-CM,1999-10-11,s-m-krishna,2004-05-28,src-46e657180a26
IN-S10-CM,2004-05-28,dharam-singh,2006-01-28,src-46e657180a26
IN-S10-CM,2006-02-03,h-d-kumaraswamy,2007-10-08,src-46e657180a26
IN-S10-CM,2007-10-09,,2007-11-12,src-46e657180a26
IN-S10-CM,2007-11-12,b-s-yediyurappa,2007-11-19,src-46e657180a26
IN-S10-CM,2007-11-19,,2008-05-30,src-46e657180a26
IN-S10-CM,2008-05-30,b-s-yediyurappa,2011-08-04,src-46e657180a26
IN-S10-CM,2011-08-04,d-v-sadananda-gowda,2012-07-12,src-46e657180a26
IN-S10-CM,2012-07-12,jagadish-shettar,2013-05-12,src-46e657180a26
IN-S10-CM,2013-05-13,siddaramaiah,2018-05-17,src-46e657180a26
IN-S10-CM,2018-05-17,b-s-yediyurappa,2018-05-19,src-46e657180a26
IN-S10-CM,2018-05-23,h-d-kumaraswamy,2019-07-23,src-46e657180a26
IN-S10-CM,2019-07-26,b-s-yediyurappa,2021-07-28,src-46e657180a26
IN-S10-CM,2021-07-28,basavaraj-bommai,2023-05-13,src-46e657180a26
IN-S10-CM,2023-05-20,siddaramaiah,,src-46e657180a26
IN-S11-CM,1987-03-26,e-k-nayanar,1991-06-17,src-3784c1ebd2b2
IN-S11-CM,1991-06-24,k-karunakaran,1995-03-22,src-3784c1ebd2b2
IN-S11-CM,1995-03-22,a-k-antony,1996-05-09,src-3784c1ebd2b2
IN-S11-CM,1996-05-20,e-k-nayanar,2001-05-13,src-3784c1ebd2b2
IN-S11-CM,2001-05-17,a-k-antony,2004-08-29,src-3784c1ebd2b2
IN-S11-CM,2004-08-31,oommen-chandy,2006-05-12,src-3784c1ebd2b2
IN-S11-CM,2006-05-18,v-s-achuthanandan,2011-05-14,src-3784c1ebd2b2
IN-S11-CM,2011-05-18,oommen-chandy,2016-05-20,src-3784c1ebd2b2
IN-S11-CM,2016-05-25,pinarayi-vijayan,2021-05-19,src-3784c1ebd2b2
IN-S11-CM,2021-05-20,pinarayi-vijayan,2026-05-12,src-3784c1ebd2b2
IN-S11-CM,2026-05-13,,,src-3784c1ebd2b2
IN-S12-CM,1990-03-05,sunderlal-patwa,1992-12-15,src-3f43c6f26da5
IN-S12-CM,1992-12-15,,1993-12-07,src-3f43c6f26da5
IN-S12-CM,1993-12-07,digvijaya-singh,2003-12-08,src-3f43c6f26da5
IN-S12-CM,2003-12-08,uma-bharti,2003-12-08,src-3f43c6f26da5
IN-S12-CM,2004-08-23,babulal-gaur,2005-11-29,src-3f43c6f26da5
IN-S12-CM,2005-11-29,shivraj-singh-chouhan,2018-12-17,src-3f43c6f26da5
IN-S12-CM,2018-12-17,kamal-nath,2020-03-23,src-3f43c6f26da5
IN-S12-CM,2020-03-23,shivraj-singh-chouhan,2023-12-13,src-3f43c6f26da5
IN-S12-CM,2023-12-13,mohan-yadav,,src-3f43c6f26da5
IN-S13-CM,1988-06-26,sharad-pawar,1991-06-25,src-069e60bc1a2f
IN-S13-CM,1991-06-25,sudhakarrao-naik,1993-02-22,src-069e60bc1a2f
IN-S13-CM,1993-03-06,sharad-pawar,1995-03-14,src-069e60bc1a2f
IN-S13-CM,1995-03-14,manohar-joshi,1999-01-31,src-069e60bc1a2f
IN-S13-CM,1999-02-01,narayan-rane,1999-10-17,src-069e60bc1a2f
IN-S13-CM,1999-10-18,vilasrao-deshmukh,2003-01-18,src-069e60bc1a2f
IN-S13-CM,2003-01-18,sushil-kumar-shinde,2004-10-30,src-069e60bc1a2f
IN-S13-CM,2004-11-01,vilasrao-deshmukh,2008-12-04,src-069e60bc1a2f
IN-S13-CM,2008-12-08,ashok-chavan,2010-11-09,src-069e60bc1a2f
IN-S13-CM,2010-11-11,prithviraj-chavan,2014-09-28,src-069e60bc1a2f
IN-S13-CM,2014-09-28,,2014-10-31,src-069e60bc1a2f
IN-S13-CM,2014-10-31,devendra-fadnavis,2019-11-08,src-069e60bc1a2f
IN-S13-CM,2019-11-23,devendra-fadnavis,2019-11-26,src-069e60bc1a2f
IN-S13-CM,2019-11-28,uddhav-thackeray,2022-06-29,src-069e60bc1a2f
IN-S13-CM,2022-06-30,eknath-shinde,2024-12-05,src-069e60bc1a2f
IN-S13-CM,2024-12-05,devendra-fadnavis,,src-069e60bc1a2f
IN-S14-CM,1990-02-23,r-k-ranbir-singh,1992-04-07,src-07dabe765f33
IN-S14-CM,1992-01-07,,1992-04-08,src-07dabe765f33
IN-S14-CM,1992-04-08,r-k-dorendro-singh,1993-12-10,src-07dabe765f33
IN-S14-CM,1993-12-31,,1994-12-13,src-07dabe765f33
IN-S14-CM,1994-12-14,rishang-keishing,1997-12-15,src-07dabe765f33
IN-S14-CM,1997-12-15,w-nipamacha-singh,2001-02-15,src-07dabe765f33
IN-S14-CM,2001-02-15,radhabinod-koijam,2001-06-02,src-07dabe765f33
IN-S14-CM,2001-06-02,,2002-03-06,src-07dabe765f33
IN-S14-CM,2002-03-07,okram-ibobi-singh,2017-03-15,src-07dabe765f33
IN-S14-CM,2017-03-15,n-biren-singh,2022-03-21,src-07dabe765f33
IN-S14-CM,2022-03-21,n-biren-singh,2025-02-13,src-07dabe765f33
IN-S14-CM,2025-02-13,,,src-07dabe765f33
IN-S15-CM,1990-02-08,b-b-lyngdoh,1991-10-08,src-950f1ca7490d
IN-S15-CM,1991-10-11,,1992-02-05,src-950f1ca7490d
IN-S15-CM,1992-02-05,d-d-lapang,1993-02-19,src-950f1ca7490d
IN-S15-CM,1993-02-19,s-c-marak,1998-02-27,src-950f1ca7490d
IN-S15-CM,1998-02-27,b-b-lyngdoh,2000-03-08,src-950f1ca7490d
IN-S15-CM,2000-03-08,e-k-mawlong,2001-12-08,src-950f1ca7490d
IN-S15-CM,2001-12-08,flinder-anderson-khonglam,2003-03-04,src-950f1ca7490d
IN-S15-CM,2003-03-04,d-d-lapang,2006-06-10,src-950f1ca7490d
IN-S15-CM,2006-06-15,j-d-rymbai,2007-03-10,src-950f1ca7490d
IN-S15-CM,2007-03-10,d-d-lapang,2008-03-04,src-950f1ca7490d
IN-S15-CM,2008-03-04,donkupar-roy,2008-03-19,src-950f1ca7490d
IN-S15-CM,2009-03-18,,2009-05-13,src-950f1ca7490d
IN-S15-CM,2009-05-13,d-d-lapang,2010-04-19,src-950f1ca7490d
IN-S15-CM,2010-04-19,mukul-sangma,2013-03-05,src-950f1ca7490d
IN-S15-CM,2013-03-05,mukul-sangma,2018-03-06,src-950f1ca7490d
IN-S15-CM,2018-03-06,conrad-sangma,,src-950f1ca7490d
IN-S16-CM,1989-01-24,lal-thanhawla,1998-12-03,src-3bd455290edb
IN-S16-CM,1998-12-03,zoramthanga,2008-12-11,src-3bd455290edb
IN-S16-CM,2008-12-11,lal-thanhawla,2018-12-15,src-3bd455290edb
IN-S16-CM,2018-12-15,zoramthanga,2023-12-08,src-3bd455290edb
IN-S16-CM,2023-12-08,lalduhoma,,src-3bd455290edb
IN-S17-CM,1988-01-25,s-c-jamir,1990-05-10,src-2bd23a88b63f
IN-S17-CM,1990-05-16,k-l-chishi,1990-06-19,src-2bd23a88b63f
IN-S17-CM,1990-06-19,vamuzo-phesao,1992-04-02,src-2bd23a88b63f
IN-S17-CM,1992-04-02,,1993-02-22,src-2bd23a88b63f
IN-S17-CM,1993-02-22,s-c-jamir,2003-03-06,src-2bd23a88b63f
IN-S17-CM,2003-03-06,neiphiu-rio,2008-01-03,src-2bd23a88b63f
IN-S17-CM,2008-01-03,,2008-03-12,src-2bd23a88b63f
IN-S17-CM,2008-03-12,neiphiu-rio,2014-05-24,src-2bd23a88b63f
IN-S17-CM,2014-05-24,t-r-zeliang,2017-02-22,src-2bd23a88b63f
IN-S17-CM,2017-02-22,shurhozelie-liezietsu,2017-07-19,src-2bd23a88b63f
IN-S17-CM,2017-07-19,t-r-zeliang,2018-03-08,src-2bd23a88b63f
IN-S17-CM,2018-03-08,neiphiu-rio,,src-2bd23a88b63f
IN-S18-CM,1990-03-05,biju-patnaik,1995-03-15,src-e7e597f4e81b
IN-S18-CM,1995-03-15,j-b-patnaik,1999-02-17,src-e7e597f4e81b
IN-S18-CM,1999-02-17,giridhar-gamang,1999-12-06,src-e7e597f4e81b
IN-S18-CM,1999-12-06,hemananda-biswal,2000-03-05,src-e7e597f4e81b
IN-S18-CM,2000-03-05,naveen-patnaik,2024-06-12,src-e7e597f4e81b
IN-S18-CM,2024-06-12,mohan-charan-majhi,,src-e7e597f4e81b
IN-S19-CM,1987-06-11,,1992-02-25,src-368e01b659fe
IN-S19-CM,1992-02-25,beant-singh,1995-08-31,src-368e01b659fe
IN-S19-CM,1995-08-31,harcharan-singh-brar,1996-11-21,src-368e01b659fe
IN-S19-CM,1996-11-21,rajinder-kaur-bhattal,1997-02-12,src-368e01b659fe
IN-S19-CM,1997-02-12,parkash-singh-badal,2002-02-26,src-368e01b659fe
IN-S19-CM,2002-02-26,amarinder-singh,2007-03-01,src-368e01b659fe
IN-S19-CM,2007-03-01,parkash-singh-badal,2017-03-16,src-368e01b659fe
IN-S19-CM,2017-03-16,amarinder-singh,2021-09-18,src-368e01b659fe
IN-S19-CM,2021-09-20,charanjit-singh-channi,2022-03-16,src-368e01b659fe
IN-S19-CM,2022-03-16,bhagwant-mann,,src-368e01b659fe
IN-S20-CM,1990-03-04,bhairon-singh-shekhawat,1992-12-15,src-47a1875da793
IN-S20-CM,1992-12-15,,1993-12-04,src-47a1875da793
IN-S20-CM,1993-12-04,bhairon-singh-shekhawat,1998-11-29,src-47a1875da793
IN-S20-CM,1998-12-01,ashok-gehlot,2003-12-08,src-47a1875da793
IN-S20-CM,2003-12-08,vasundhara-raje,2008-12-12,src-47a1875da793
IN-S20-CM,2008-12-12,ashok-gehlot,2013-12-13,src-47a1875da793
IN-S20-CM,2013-12-13,vasundhara-raje,2018-12-17,src-47a1875da793
IN-S20-CM,2018-12-17,ashok-gehlot,2023-12-15,src-47a1875da793
IN-S20-CM,2023-12-15,bhajan-lal-sharma,,src-47a1875da793
IN-S21-CM,1989-03-11,nar-bahadur-bhandari,1994-05-17,src-5cc96aeab15f
IN-S21-CM,1994-05-18,sanchaman-limboo,1994-12-12,src-5cc96aeab15f
IN-S21-CM,1994-12-12,pawan-kumar-chamling,2019-05-27,src-5cc96aeab15f
IN-S21-CM,2019-05-27,prem-singh-tamang,,src-5cc96aeab15f
IN-S22-CM,1989-01-27,m-karunanidhi,1991-01-30,src-a99bd0998bba
IN-S22-CM,1991-01-30,,1991-06-24,src-a99bd0998bba
IN-S22-CM,1991-06-24,j-jayalalithaa,1996-05-12,src-a99bd0998bba
IN-S22-CM,1996-05-13,m-karunanidhi,2001-05-12,src-a99bd0998bba
IN-S22-CM,2001-05-14,j-jayalalithaa,2001-09-21,src-a99bd0998bba
IN-S22-CM,2001-09-21,o-panneerselvam,2002-03-01,src-a99bd0998bba
IN-S22-CM,2002-03-02,j-jayalalithaa,2006-05-12,src-a99bd0998bba
IN-S22-CM,2006-05-13,m-karunanidhi,2011-05-15,src-a99bd0998bba
IN-S22-CM,2011-05-16,j-jayalalithaa,2014-09-27,src-a99bd0998bba
IN-S22-CM,2014-09-29,o-panneerselvam,2015-05-22,src-a99bd0998bba
IN-S22-CM,2015-05-23,j-jayalalithaa,2016-05-22,src-a99bd0998bba
IN-S22-CM,2016-05-23,j-jayalalithaa,2016-12-05,src-a99bd0998bba
IN-S22-CM,2016-12-06,o-panneerselvam,2017-02-15,src-a99bd0998bba
IN-S22-CM,2017-02-16,edappadi-k-palaniswami,2021-05-06,src-a99bd0998bba
IN-S22-CM,2021-05-07,m-k-stalin,2026-05-12,src-a99bd0998bba
IN-S22-CM,2026-05-13,,,src-a99bd0998bba
IN-S23-CM,1988-02-05,sudhir-ranjan-majumdar,1993-04-10,src-e48294bfc770
IN-S23-CM,1993-04-10,manik-sarkar,2018-03-09,src-e48294bfc770
IN-S23-CM,2018-03-09,biplab-kumar-deb,2022-05-15,src-e48294bfc770
IN-S23-CM,2022-05-15,manik-saha,,src-e48294bfc770
IN-S24-CM,1989-12-05,mulayam-singh-yadav,1991-06-24,src-80947ea0fc08
IN-S24-CM,1991-06-24,kalyan-singh,1992-12-06,src-80947ea0fc08
IN-S24-CM,1992-12-06,,1993-12-04,src-80947ea0fc08
IN-S24-CM,1993-12-04,mulayam-singh-yadav,1995-06-03,src-80947ea0fc08
IN-S24-CM,1995-06-03,mayawati,1995-10-18,src-80947ea0fc08
IN-S24-CM,1995-10-18,,1996-10-21,src-80947ea0fc08
IN-S24-CM,1996-10-21,,1997-03-21,src-80947ea0fc08
IN-S24-CM,1997-03-21,mayawati,1997-09-21,src-80947ea0fc08
IN-S24-CM,1997-09-21,kalyan-singh,1998-02-21,src-80947ea0fc08
IN-S24-CM,1998-02-21,jagdambika-pal,1998-02-23,src-80947ea0fc08
IN-S24-CM,1998-02-23,kalyan-singh,1999-11-12,src-80947ea0fc08
IN-S24-CM,1999-11-12,ram-prakash-gupta,2000-10-28,src-80947ea0fc08
IN-S24-CM,2000-10-28,rajnath-singh,2002-03-08,src-80947ea0fc08
IN-S24-CM,2002-03-08,,2002-05-03,src-80947ea0fc08
IN-S24-CM,2002-05-03,mayawati,2003-08-29,src-80947ea0fc08
IN-S24-CM,2003-08-29,mulayam-singh-yadav,2007-05-13,src-80947ea0fc08
IN-S24-CM,2007-05-13,mayawati,2012-03-15,src-80947ea0fc08
IN-S24-CM,2012-03-15,akhilesh-yadav,2017-03-19,src-80947ea0fc08
IN-S24-CM,2017-03-19,yogi-adityanath,2022-03-25,src-80947ea0fc08
IN-S24-CM,2022-03-25,yogi-adityanath,,src-80947ea0fc08
IN-S25-CM,1987-03-30,jyoti-basu,1991-04-17,src-276836eeb2c1
IN-S25-CM,1991-04-19,jyoti-basu,1996-05-15,src-276836eeb2c1
IN-S25-CM,1996-05-16,jyoti-basu,2000-11-05,src-276836eeb2c1
IN-S25-CM,2000-11-06,buddhadeb-bhattacharjee,2001-05-15,src-276836eeb2c1
IN-S25-CM,2001-05-16,buddhadeb-bhattacharjee,2006-05-17,src-276836eeb2c1
IN-S25-CM,2006-05-18,buddhadeb-bhattacharjee,2011-05-13,src-276836eeb2c1
IN-S25-CM,2011-05-20,mamata-banerjee,2016-05-26,src-276836eeb2c1
IN-S25-CM,2016-05-27,mamata-banerjee,2021-05-04,src-276836eeb2c1
IN-S25-CM,2021-05-05,mamata-banerjee,2026-05-12,src-276836eeb2c1
IN-S25-CM,2026-05-13,,,src-276836eeb2c1
IN-S26-CM,2000-11-01,ajit-jogi,2003-12-07,src-e0626b62fc74
IN-S26-CM,2003-12-07,raman-singh,2018-12-17,src-e0626b62fc74
IN-S26-CM,2018-12-17,bhupesh-baghel,2023-12-13,src-e0626b62fc74
IN-S26-CM,2023-12-13,vishnu-deo-sai,,src-e0626b62fc74
IN-S27-CM,2000-11-15,babulal-marandi,2003-03-18,src-d46bfea67787
IN-S27-CM,2003-03-18,arjun-munda,2005-03-02,src-d46bfea67787
IN-S27-CM,2005-03-02,shibu-soren,2005-03-12,src-d46bfea67787
IN-S27-CM,2005-03-12,arjun-munda,2006-09-18,src-d46bfea67787
IN-S27-CM,2006-09-18,madhu-koda,2008-08-27,src-d46bfea67787
IN-S27-CM,2008-08-27,shibu-soren,2009-01-18,src-d46bfea67787
IN-S27-CM,2009-01-19,,2009-12-29,src-d46bfea67787
IN-S27-CM,2009-12-30,shibu-soren,2010-05-31,src-d46bfea67787
IN-S27-CM,2010-06-01,,2010-09-11,src-d46bfea67787
IN-S27-CM,2010-09-11,arjun-munda,2013-01-18,src-d46bfea67787
IN-S27-CM,2013-01-18,,2013-07-13,src-d46bfea67787
IN-S27-CM,2013-07-13,hemant-soren,2014-12-28,src-d46bfea67787
IN-S27-CM,2014-12-28,raghubar-das,2019-12-29,src-d46bfea67787
IN-S27-CM,2019-12-29,hemant-soren,2024-01-31,src-d46bfea67787
IN-S27-CM,2024-02-02,champai-soren,2024-07-04,src-d46bfea67787
IN-S27-CM,2024-07-04,hemant-soren,,src-d46bfea67787
IN-S28-CM,2000-11-09,nityanand-swami,2001-10-29,src-64ddaa273372
IN-S28-CM,2001-10-30,bhagat-singh-koshyari,2002-03-01,src-64ddaa273372
IN-S28-CM,2002-03-02,narayan-datt-tiwari,2007-03-07,src-64ddaa273372
IN-S28-CM,2007-03-08,bhuvan-chandra-khanduri,2009-06-23,src-64ddaa273372
IN-S28-CM,2009-06-23,ramesh-pokhriyal,2011-09-10,src-64ddaa273372
IN-S28-CM,2011-09-11,bhuvan-chandra-khanduri,2012-03-13,src-64ddaa273372
IN-S28-CM,2012-03-13,vijay-bahuguna,2014-01-31,src-64ddaa273372
IN-S28-CM,2014-02-01,harish-rawat,2017-03-18,src-64ddaa273372
IN-S28-CM,2016-03-27,,2016-05-11,src-64ddaa273372
IN-S28-CM,2017-03-18,trivendra-singh-rawat,2021-03-10,src-64ddaa273372
IN-S28-CM,2021-03-10,tirath-singh-rawat,2021-07-04,src-64ddaa273372
IN-S28-CM,2021-07-04,pushkar-singh-dhami,,src-64ddaa273372
IN-S29-CM,1989-12-03,marri-chenna-reddy,1990-12-17,src-4f52acd5570b
IN-S29-CM,1990-12-17,n-janardhan-reddy,1992-10-09,src-4f52acd5570b
IN-S29-CM,1992-10-09,kotla-vijaya-bhaskara-reddy,1994-12-12,src-4f52acd5570b
IN-S29-CM,1994-12-12,n-t-rama-rao,1995-09-01,src-4f52acd5570b
IN-S29-CM,1995-09-01,n-chandrababu-naidu,2004-05-14,src-4f52acd5570b
IN-S29-CM,2004-05-14,y-s-rajasekhara-reddy,2009-09-02,src-4f52acd5570b
IN-S29-CM,2009-09-03,k-rosaiah,2010-11-25,src-4f52acd5570b
IN-S29-CM,2010-11-25,n-kiran-kumar-reddy,2014-03-01,src-4f52acd5570b
IN-S29-CM,2014-03-01,,2014-06-08,src-4f52acd5570b
IN-S29-CM,2014-06-02,k-chandrashekar-rao,2018-12-13,src-4f52acd5570b
IN-S29-CM,2018-12-13,k-chandrashekar-rao,2023-12-07,src-4f52acd5570b
IN-S29-CM,2023-12-07,a-revanth-reddy,,src-4f52acd5570b
IN-U05-CM,1993-12-02,madan-lal-khurana,1996-02-26,src-43a0412da466
IN-U05-CM,1996-02-26,sahib-singh-verma,1998-10-12,src-43a0412da466
IN-U05-CM,1998-10-12,sushma-swaraj,1998-12-03,src-43a0412da466
IN-U05-CM,1998-12-03,sheila-dikshit,2013-12-28,src-43a0412da466
IN-U05-CM,2013-12-28,arvind-kejriwal,2014-02-14,src-43a0412da466
IN-U05-CM,2014-02-14,,2015-02-14,src-43a0412da466
