alliance_id,party_id,term_start,term_end,source_id
JJP+,parties.IN.ASPKR,2024-10-01,,src-7b64de7a1ba5
JJP+,parties.IN.JJP,2024-10-01,,src-7b64de7a1ba5
LDF,parties.IN.CPI,2021-04-06,,src-12feeb60dda8
LDF,parties.IN.CPIM,1987-03-26,1991-06-17,src-9fb64167b105
LDF,parties.IN.CPIM,1996-05-20,2001-05-13,src-9fb64167b105
LDF,parties.IN.CPIM,2006-05-18,2011-05-14,src-9fb64167b105
LDF,parties.IN.CPIM,2016-05-25,2021-05-19,src-9fb64167b105
LDF,parties.IN.CPIM,2021-04-06,,src-12feeb60dda8
LDF,parties.IN.CPIM,2021-05-20,2026-05-12,src-9fb64167b105
LDF,parties.IN.INL,2021-04-06,,src-12feeb60dda8
LDF,parties.IN.JDS,2021-04-06,,src-12feeb60dda8
LDF,parties.IN.JKC,2021-04-06,,src-12feeb60dda8
LDF,parties.IN.KECM,2021-04-06,,src-12feeb60dda8
LDF,parties.IN.KEC_B,2021-04-06,,src-12feeb60dda8
LDF,parties.IN.LJD,2021-04-06,,src-12feeb60dda8
LDF,parties.IN.NCP,2021-04-06,,src-12feeb60dda8
Left Front,parties.IN.CPIM,1987-03-30,1991-04-17,src-94b43c14e514
Left Front,parties.IN.CPIM,1991-04-19,1996-05-15,src-94b43c14e514
Left Front,parties.IN.CPIM,1996-05-16,2000-11-05,src-94b43c14e514
Left Front,parties.IN.CPIM,2000-11-06,2001-05-15,src-94b43c14e514
Left Front,parties.IN.CPIM,2001-05-16,2006-05-17,src-94b43c14e514
Left Front,parties.IN.CPIM,2006-05-18,2011-05-13,src-94b43c14e514
MVA,parties.IN.CPIM,2024-10-01,,src-80a8269260ff
MVA,parties.IN.INC,2024-10-01,,src-80a8269260ff
MVA,parties.IN.NCP_SP,2024-10-01,,src-80a8269260ff
MVA,parties.IN.PWP,2024-10-01,,src-80a8269260ff
MVA,parties.IN.SP,2024-10-01,,src-80a8269260ff
MVA,parties.IN.SS_UBT,2024-10-01,,src-80a8269260ff
Maha Aghadi,parties.IN.BVA,2019-12-20,,src-6be1c4cb7a81
Maha Aghadi,parties.IN.INC,2019-12-20,,src-6be1c4cb7a81
Maha Aghadi,parties.IN.NCP,2019-12-20,,src-6be1c4cb7a81
Maha Aghadi,parties.IN.PWP,2019-12-20,,src-6be1c4cb7a81
Maha Aghadi,parties.IN.SWP,2019-12-20,,src-6be1c4cb7a81
Mahagathbandhan,parties.IN.CPI,2020-02-08,,src-d5fb5fb008fc
Mahagathbandhan,parties.IN.CPI,2025-02-05,,src-2f4ff281b378
Mahagathbandhan,parties.IN.CPIM,2020-02-08,,src-d5fb5fb008fc
Mahagathbandhan,parties.IN.CPIM,2025-02-05,,src-2f4ff281b378
Mahagathbandhan,parties.IN.CPIMLL,2020-02-08,,src-d5fb5fb008fc
Mahagathbandhan,parties.IN.CPIMLL,2025-02-05,,src-2f4ff281b378
Mahagathbandhan,parties.IN.INC,2020-02-08,,src-d5fb5fb008fc
Mahagathbandhan,parties.IN.INC,2025-02-05,,src-2f4ff281b378
Mahagathbandhan,parties.IN.RJD,2020-02-08,,src-d5fb5fb008fc
Mahagathbandhan,parties.IN.RJD,2025-02-05,,src-2f4ff281b378
Mahagathbandhan,parties.IN.VIPMS,2025-02-05,,src-2f4ff281b378
Mahayuti,parties.IN.BJP,2019-12-20,,src-6be1c4cb7a81
Mahayuti,parties.IN.BJP,2024-10-01,,src-80a8269260ff
Mahayuti,parties.IN.BJP,2024-12-05,,src-3bfa5f92e2a1
Mahayuti,parties.IN.NCP,2024-10-01,,src-80a8269260ff
Mahayuti,parties.IN.RPI,2024-10-01,,src-80a8269260ff
Mahayuti,parties.IN.SHS,2019-12-20,,src-6be1c4cb7a81
Mahayuti,parties.IN.SHS,2024-10-01,,src-80a8269260ff
NDA,parties.IN.ADS,2022-12-01,,src-861d0a089c96
NDA,parties.IN.AIADMK,2017-02-16,2021-05-06,src-a99bd0998bba
NDA,parties.IN.AIADMK,2021-04-06,,src-12feeb60dda8
NDA,parties.IN.AINRC,2021-05-07,2026-05-12,src-ac976494bf5e
NDA,parties.IN.AINRC,2026-05-13,,src-ac976494bf5e
NDA,parties.IN.BDJS,2021-04-06,,src-12feeb60dda8
NDA,parties.IN.BJP,1998-03-04,2001-10-06,src-274c3619844c
NDA,parties.IN.BJP,1998-03-24,2003-03-05,src-c968d22ee290
NDA,parties.IN.BJP,2000-10-24,2005-02-02,src-1a418a6f08dd
NDA,parties.IN.BJP,2000-10-28,2002-03-08,src-feaa0f5df7fd
NDA,parties.IN.BJP,2000-11-09,2001-10-29,src-6921e999cfbe
NDA,parties.IN.BJP,2000-11-15,2003-03-18,src-d46bfea67787
NDA,parties.IN.BJP,2001-10-07,2014-05-22,src-274c3619844c
NDA,parties.IN.BJP,2001-10-30,2002-03-01,src-6921e999cfbe
NDA,parties.IN.BJP,2003-03-18,2005-03-02,src-d46bfea67787
NDA,parties.IN.BJP,2003-12-07,2018-12-17,src-e0626b62fc74
NDA,parties.IN.BJP,2003-12-08,2003-12-08,src-3f43c6f26da5
NDA,parties.IN.BJP,2004-08-23,2005-11-29,src-3f43c6f26da5
NDA,parties.IN.BJP,2005-03-12,2006-09-18,src-d46bfea67787
NDA,parties.IN.BJP,2005-11-29,2018-12-17,src-3f43c6f26da5
NDA,parties.IN.BJP,2007-03-08,2009-06-23,src-6921e999cfbe
NDA,parties.IN.BJP,2007-12-30,2012-12-25,src-c968d22ee290
NDA,parties.IN.BJP,2008-05-30,2011-08-04,src-f0f2a0332427
NDA,parties.IN.BJP,2009-06-23,2011-09-10,src-6921e999cfbe
NDA,parties.IN.BJP,2010-09-11,2013-01-18,src-d46bfea67787
NDA,parties.IN.BJP,2011-08-04,2012-07-12,src-f0f2a0332427
NDA,parties.IN.BJP,2011-09-11,2012-03-13,src-6921e999cfbe
NDA,parties.IN.BJP,2012-03-09,2014-11-08,src-1a418a6f08dd
NDA,parties.IN.BJP,2012-07-12,2013-05-12,src-f0f2a0332427
NDA,parties.IN.BJP,2013-12-13,2018-12-17,src-7a217e3416d4
NDA,parties.IN.BJP,2014-05-22,2016-08-03,src-274c3619844c
NDA,parties.IN.BJP,2014-10-26,2024-03-12,src-e08fc8e92a25
NDA,parties.IN.BJP,2014-10-31,2019-11-08,src-3bfa5f92e2a1
NDA,parties.IN.BJP,2014-11-08,2017-03-13,src-1a418a6f08dd
NDA,parties.IN.BJP,2014-12-28,2019-12-29,src-d46bfea67787
NDA,parties.IN.BJP,2016-05-24,2021-05-09,src-88c9b6d1f06e
NDA,parties.IN.BJP,2016-08-07,2021-09-12,src-274c3619844c
NDA,parties.IN.BJP,2016-12-31,,src-cc4613f255cb
NDA,parties.IN.BJP,2017-03-14,2019-03-17,src-1a418a6f08dd
NDA,parties.IN.BJP,2017-03-15,2022-03-21,src-6854660c614d
NDA,parties.IN.BJP,2017-03-18,2021-03-10,src-6921e999cfbe
NDA,parties.IN.BJP,2017-03-19,2022-03-25,src-feaa0f5df7fd
NDA,parties.IN.BJP,2017-12-27,2022-12-11,src-c968d22ee290
NDA,parties.IN.BJP,2018-03-09,2022-05-15,src-e48294bfc770
NDA,parties.IN.BJP,2018-05-17,2018-05-19,src-f0f2a0332427
NDA,parties.IN.BJP,2019-03-19,,src-1a418a6f08dd
NDA,parties.IN.BJP,2019-07-26,2021-07-28,src-f0f2a0332427
NDA,parties.IN.BJP,2020-02-08,,src-d5fb5fb008fc
NDA,parties.IN.BJP,2020-03-23,2023-12-13,src-3f43c6f26da5
NDA,parties.IN.BJP,2021-03-10,2021-07-04,src-6921e999cfbe
NDA,parties.IN.BJP,2021-04-06,,src-12feeb60dda8
NDA,parties.IN.BJP,2021-05-10,2026-05-12,src-88c9b6d1f06e
NDA,parties.IN.BJP,2021-07-04,,src-6921e999cfbe
NDA,parties.IN.BJP,2021-07-28,2023-05-13,src-f0f2a0332427
NDA,parties.IN.BJP,2021-09-13,,src-274c3619844c
NDA,parties.IN.BJP,2022-03-21,2025-02-13,src-6854660c614d
NDA,parties.IN.BJP,2022-03-25,,src-feaa0f5df7fd
NDA,parties.IN.BJP,2022-05-15,,src-e48294bfc770
NDA,parties.IN.BJP,2022-12-01,,src-861d0a089c96
NDA,parties.IN.BJP,2023-12-13,,src-3f43c6f26da5
NDA,parties.IN.BJP,2023-12-15,,src-7a217e3416d4
NDA,parties.IN.BJP,2024-03-12,,src-e08fc8e92a25
NDA,parties.IN.BJP,2024-06-12,,src-e7e597f4e81b
NDA,parties.IN.BJP,2024-10-01,,src-2a3498ed6ba5
NDA,parties.IN.BJP,2025-02-05,,src-5340fdfa9ce7
NDA,parties.IN.BJP,2025-02-20,,src-aedf97ce448b
NDA,parties.IN.BJP,2026-05-08,,src-bca3c60cdafb
NDA,parties.IN.BJP,2026-05-13,,src-88c9b6d1f06e
NDA,parties.IN.HAM_SECULAR,2020-02-08,,src-d5fb5fb008fc
NDA,parties.IN.HAM_SECULAR,2025-02-05,,src-2f4ff281b378
NDA,parties.IN.JDU,2020-02-08,,src-d5fb5fb008fc
NDA,parties.IN.JDU,2025-02-05,,src-2f4ff281b378
NDA,parties.IN.LJPRV,2025-02-05,,src-2f4ff281b378
NDA,parties.IN.NINSHAD,2022-12-01,,src-861d0a089c96
NDA,parties.IN.PMK,2026-05-08,,src-bca3c60cdafb
NDA,parties.IN.RLM,2025-02-05,,src-2f4ff281b378
NDA,parties.IN.VIPMS,2020-02-08,,src-d5fb5fb008fc
NDA-2014,parties.IN.ADS,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.AINRC,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.BJP,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.DMDK,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.LJP,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.MDMK,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.NPF,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.NPP,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.PMK,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.RLSP,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.RPIA,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.SAD,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.SHS,2014-05-12,,src-74ac21d52e3d
NDA-2014,parties.IN.TDP,2014-05-12,,src-74ac21d52e3d
NDA-2019,parties.IN.ADS,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.AGP,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.AIADMK,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.AINRC,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.AJSU,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.BJP,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.BOPF,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.DMDK,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.IPFT,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.JDU,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.LJP,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.MNF,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.NDPP,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.NPF,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.NPP,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.PMK,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.RPIA,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.SAD,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.SHS,2019-05-19,,src-2d20f783ae5a
NDA-2019,parties.IN.SKM,2019-05-19,,src-2d20f783ae5a
NDA-2024,parties.IN.AGP,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.AJSU,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.BJP,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.HAM_SECULAR,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.IPFT,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.JDU,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.JSP,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.LJPRV,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.MNF,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.NCP,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.NPF,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.NPP,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.RLD,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.SHS,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.TDP,2024-06-01,,src-2cd9e8b9c9ce
NDA-2024,parties.IN.UPPL,2024-06-01,,src-2cd9e8b9c9ce
SP+,parties.IN.APNDLK,2022-12-01,,src-861d0a089c96
SP+,parties.IN.MD,2022-12-01,,src-861d0a089c96
SP+,parties.IN.NCP,2022-12-01,,src-861d0a089c96
SP+,parties.IN.PSPL,2022-12-01,,src-861d0a089c96
SP+,parties.IN.RLD,2022-12-01,,src-861d0a089c96
SP+,parties.IN.SBSP,2022-12-01,,src-861d0a089c96
SP+,parties.IN.SP,2022-12-01,,src-861d0a089c96
SPA,parties.IN.AIFB,2021-04-06,,src-1bde6be308c3
SPA,parties.IN.CPI,2021-04-06,,src-1bde6be308c3
SPA,parties.IN.CPI,2026-05-08,,src-bca3c60cdafb
SPA,parties.IN.CPIM,2021-04-06,,src-1bde6be308c3
SPA,parties.IN.CPIM,2026-05-08,,src-bca3c60cdafb
SPA,parties.IN.DMK,2021-04-06,,src-1bde6be308c3
SPA,parties.IN.DMK,2026-05-08,,src-bca3c60cdafb
SPA,parties.IN.INC,2021-04-06,,src-1bde6be308c3
SPA,parties.IN.INC,2026-05-08,,src-bca3c60cdafb
SPA,parties.IN.IUML,2021-04-06,,src-1bde6be308c3
SPA,parties.IN.KMDK,2021-04-06,,src-1bde6be308c3
SPA,parties.IN.MDMK,2021-04-06,,src-1bde6be308c3
SPA,parties.IN.MDMK,2026-05-08,,src-bca3c60cdafb
SPA,parties.IN.VCK,2021-04-06,,src-1bde6be308c3
Sanyukta Morcha,parties.IN.AIFB,2021-04-06,,src-33e3388cf85e
Sanyukta Morcha,parties.IN.AISF,2021-04-06,,src-33e3388cf85e
Sanyukta Morcha,parties.IN.CPI,2021-04-06,,src-33e3388cf85e
Sanyukta Morcha,parties.IN.CPIM,2021-04-06,,src-33e3388cf85e
Sanyukta Morcha,parties.IN.INC,2021-04-06,,src-33e3388cf85e
Sanyukta Morcha,parties.IN.RSP,2021-04-06,,src-33e3388cf85e
Secular Progressive Alliance (later INDIA bloc),parties.IN.DMK,2021-05-07,2026-05-12,src-a99bd0998bba
UDF,parties.IN.INC,1991-06-24,1995-03-22,src-9fb64167b105
UDF,parties.IN.INC,1995-03-22,1996-05-09,src-9fb64167b105
UDF,parties.IN.INC,2001-05-17,2004-08-29,src-9fb64167b105
UDF,parties.IN.INC,2004-08-31,2006-05-12,src-9fb64167b105
UDF,parties.IN.INC,2011-05-18,2016-05-20,src-9fb64167b105
UDF,parties.IN.INC,2021-04-06,,src-12feeb60dda8
UDF,parties.IN.INC,2026-05-13,,src-9fb64167b105
UDF,parties.IN.IUML,2021-04-06,,src-12feeb60dda8
UDF,parties.IN.KEC,2021-04-06,,src-12feeb60dda8
UDF,parties.IN.KECJ,2021-04-06,,src-12feeb60dda8
UDF,parties.IN.RSP,2021-04-06,,src-12feeb60dda8
UPA,parties.IN.DMK,2006-05-13,2011-05-15,src-a99bd0998bba
UPA,parties.IN.INC,1999-10-11,2004-05-28,src-f0f2a0332427
UPA,parties.IN.INC,1999-10-18,2003-01-18,src-3bfa5f92e2a1
UPA,parties.IN.INC,2002-02-26,2007-03-01,src-368e01b659fe
UPA,parties.IN.INC,2002-03-02,2007-03-07,src-6921e999cfbe
UPA,parties.IN.INC,2002-03-07,2017-03-15,src-6854660c614d
UPA,parties.IN.INC,2003-01-18,2004-10-30,src-3bfa5f92e2a1
UPA,parties.IN.INC,2003-03-04,2006-06-10,src-950f1ca7490d
UPA,parties.IN.INC,2003-03-06,2007-12-30,src-c968d22ee290
UPA,parties.IN.INC,2004-05-14,2009-09-02,src-8bffee808ea8
UPA,parties.IN.INC,2004-05-28,2006-01-28,src-f0f2a0332427
UPA,parties.IN.INC,2004-11-01,2008-12-04,src-3bfa5f92e2a1
UPA,parties.IN.INC,2005-02-02,2007-06-07,src-1a418a6f08dd
UPA,parties.IN.INC,2005-03-05,2014-10-26,src-e08fc8e92a25
UPA,parties.IN.INC,2005-11-02,2008-07-11,src-cb5a1a546e33
UPA,parties.IN.INC,2006-05-14,2011-05-17,src-88c9b6d1f06e
UPA,parties.IN.INC,2007-03-10,2008-03-04,src-950f1ca7490d
UPA,parties.IN.INC,2007-04-09,2011-04-30,src-cc4613f255cb
UPA,parties.IN.INC,2007-06-08,2012-03-09,src-1a418a6f08dd
UPA,parties.IN.INC,2008-09-04,2011-05-16,src-ac976494bf5e
UPA,parties.IN.INC,2008-12-08,2010-11-09,src-3bfa5f92e2a1
UPA,parties.IN.INC,2008-12-11,2018-12-15,src-c385c8c3345a
UPA,parties.IN.INC,2008-12-12,2013-12-13,src-7a217e3416d4
UPA,parties.IN.INC,2009-05-13,2010-04-19,src-950f1ca7490d
UPA,parties.IN.INC,2009-09-03,2010-11-25,src-8bffee808ea8
UPA,parties.IN.INC,2010-04-19,2013-03-05,src-950f1ca7490d
UPA,parties.IN.INC,2010-11-11,2014-09-28,src-3bfa5f92e2a1
UPA,parties.IN.INC,2010-11-25,2014-03-01,src-8bffee808ea8
UPA,parties.IN.INC,2011-05-05,2011-11-01,src-cc4613f255cb
UPA,parties.IN.INC,2011-05-18,2016-05-23,src-88c9b6d1f06e
UPA,parties.IN.INC,2011-11-01,2016-01-26,src-cc4613f255cb
UPA,parties.IN.INC,2012-03-13,2014-01-31,src-6921e999cfbe
UPA,parties.IN.INC,2012-12-25,2017-12-27,src-c968d22ee290
UPA,parties.IN.INC,2013-03-05,2018-03-06,src-950f1ca7490d
UPA,parties.IN.INC,2013-05-13,2018-05-17,src-f0f2a0332427
UPA,parties.IN.INC,2014-02-01,2017-03-18,src-6921e999cfbe
UPA,parties.IN.INC,2016-07-13,2016-07-17,src-cc4613f255cb
UPA,parties.IN.INC,2017-03-16,2021-09-18,src-368e01b659fe
UPA,parties.IN.RJD,2000-03-11,2005-03-06,src-b01dae08d922
UPA-2014,parties.IN.INC,2014-05-12,,src-74ac21d52e3d
UPA-2014,parties.IN.IUML,2014-05-12,,src-74ac21d52e3d
UPA-2014,parties.IN.JKNC,2014-05-12,,src-74ac21d52e3d
UPA-2014,parties.IN.JMM,2014-05-12,,src-74ac21d52e3d
UPA-2014,parties.IN.KECM,2014-05-12,,src-74ac21d52e3d
UPA-2014,parties.IN.NCP,2014-05-12,,src-74ac21d52e3d
UPA-2014,parties.IN.RJD,2014-05-12,,src-74ac21d52e3d
UPA-2014,parties.IN.RLD,2014-05-12,,src-74ac21d52e3d
UPA-2014,parties.IN.RSP,2014-05-12,,src-74ac21d52e3d
UPA-2019,parties.IN.AIUDF,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.DMK,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.INC,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.IUML,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.JKNC,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.JMM,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.KECM,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.MDMK,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.NCP,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.RJD,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.RSP,2019-05-19,,src-2d20f783ae5a
UPA-2019,parties.IN.VCK,2019-05-19,,src-2d20f783ae5a
