state_entity_id,event_id,kind,display,polled_on,term_end_estimated,data_status,notes
bihar,assembly-2015,assembly,Bihar Assembly · October-November 2015,2015-11-05,2020-11-04,complete,243 ACs. Five-phase poll from 12 October to 5 November 2015; event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
bihar,assembly-2020,assembly,Bihar Assembly · October-November 2020,2020-11-07,2025-11-06,complete,"Three-phase poll: 28 October, 3 November, 7 November 2020. 243 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: [])."
bihar,assembly-2025,assembly,Bihar Assembly · November 2025,2025-11-11,2030-11-10,complete,Statistical Report Section 10 ingested 2026-05-12 from category_id=16 (UI: https://www.eci.gov.in/statistical-report/ae/2025/16). 243 ACs.
bihar,assembly-1977,assembly,Bihar Assembly · October 1977,1977-10-01,1982-09-30,complete,"324 ACs. Public page gives only year-level polling context, so the event id retains the panel month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
bihar,general-2019,parliament,Bihar · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
bihar,general-2024,parliament,Bihar · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
chandigarh,general-2024,parliament,Chandigarh · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
chhattisgarh,assembly-2003,assembly,Chhattisgarh Assembly · December 2003,2003-12-01,2008-11-30,complete,90 ACs. First Chhattisgarh Assembly election after state formation; poll held on 1 December 2003. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
chhattisgarh,assembly-2008,assembly,Chhattisgarh Assembly · November 2008,2008-11-20,2013-11-19,complete,90 ACs. Two-phase poll on 14 and 20 November 2008; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
chhattisgarh,assembly-2013,assembly,Chhattisgarh Assembly · November 2013,2013-11-19,2018-11-18,complete,90 ACs. Two-phase poll on 11 and 19 November 2013; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
chhattisgarh,assembly-2018,assembly,Chhattisgarh Assembly · November 2018,2018-11-20,2023-11-19,complete,90 ACs. Two-phase poll on 12 and 20 November 2018; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
chhattisgarh,assembly-2023,assembly,Chhattisgarh Assembly · November 2023,2023-11-07,2028-11-06,complete,"Two-phase poll: 20 seats on 7 November 2023, remaining 70 seats on 17 November 2023; counting on 3 December 2023. BJP won 54 of 90 seats, ending Congress's single term. Ingested from the legacy /full-statistical-reports/ static URL template."
chhattisgarh,general-2019,parliament,Chhattisgarh · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
chhattisgarh,general-2024,parliament,Chhattisgarh · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
dadra-and-nagar-haveli-and-daman-and-diu,general-2024,parliament,Dadra and Nagar Haveli and Daman and Diu · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
delhi,assembly-2003,assembly,NCT of Delhi Assembly · December 2003,2003-12-01,2008-11-30,complete,70 ACs. Poll held on 1 December 2003. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
delhi,assembly-2013,assembly,NCT of Delhi Assembly · December 2013,2013-12-04,2018-12-03,complete,70 ACs. Poll held on 4 December 2013. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
delhi,assembly-2015,assembly,NCT of Delhi Assembly · February 2015,2015-02-07,2020-02-06,complete,70 ACs. Poll held on 7 February 2015. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
delhi,assembly-2020,assembly,NCT of Delhi Assembly · February 2020,2020-02-08,2025-02-07,complete,Single-phase poll on 8 February 2020. 70 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
delhi,assembly-2025,assembly,NCT of Delhi Assembly · February 2025,2025-02-05,2030-02-04,complete,"Delhi is a Union Territory with a Legislative Assembly. The Assembly's powers are limited (Article 239AA): public order, police, and land are reserved to the Lieutenant Governor."
delhi,assembly-1983,assembly,Delhi Metropolitan Council · May 1983,1983-05-02,1988-05-01,complete,56 contested seats in the Delhi Metropolitan Council. The Council had an advisory role and no legislative powers; stored in the elections family because the ECI AE panel carries the contest. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
delhi,assembly-1993,assembly,NCT of Delhi Assembly · November 1993,1993-11-06,1998-11-05,complete,70 ACs. First Legislative Assembly election after Delhi was formally declared the National Capital Territory; event id follows the public polling month rather than the panel's month value. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
delhi,assembly-1998,assembly,NCT of Delhi Assembly · November 1998,1998-11-25,2003-11-24,complete,70 ACs. Poll held on 25 November 1998. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
delhi,assembly-2008,assembly,NCT of Delhi Assembly · November 2008,2008-11-29,2013-11-28,complete,70 ACs. Poll held on 29 November 2008; event id follows the public polling month rather than the panel's counting-month value. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
delhi,assembly-1977,assembly,Delhi Metropolitan Council · October 1977,1977-10-06,1982-10-05,complete,56 contested seats in the Delhi Metropolitan Council. The Council had an advisory role and no legislative powers; stored in the elections family because the ECI AE panel carries the contest. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
delhi,general-2024,parliament,NCT of Delhi · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
goa,assembly-2017,assembly,Goa Assembly · February 2017,2017-02-04,2022-02-03,complete,Single-phase poll on 4 February 2017. 40 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
goa,assembly-2022,assembly,Goa Assembly · February 2022,2022-02-14,2027-02-13,complete,Single-phase poll on 14 February 2022. 40 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
goa,assembly-1999,assembly,Goa Assembly · June 1999,1999-06-04,2004-06-03,complete,40 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
goa,assembly-2007,assembly,Goa Assembly · June 2007,2007-06-02,2012-06-01,complete,40 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
goa,assembly-2012,assembly,Goa Assembly · March 2012,2012-03-03,2017-03-02,complete,40 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
goa,assembly-2002,assembly,Goa Assembly · May 2002,2002-05-30,2007-05-29,complete,40 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
goa,assembly-1989,assembly,Goa Assembly · November 1989,1989-11-22,1994-11-21,complete,40 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
goa,assembly-1994,assembly,Goa Assembly · November 1994,1994-11-16,1999-11-15,complete,40 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
goa,general-2019,parliament,Goa · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
goa,general-2024,parliament,Goa · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
gujarat,assembly-2002,assembly,Gujarat Assembly · December 2002,2002-12-01,2007-11-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-2007,assembly,Gujarat Assembly · December 2007,2007-12-01,2012-11-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-2012,assembly,Gujarat Assembly · December 2012,2012-12-01,2017-12-08,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-2017,assembly,Gujarat Assembly · December 2017,2017-12-09,2022-12-08,complete,"Two-phase poll: 9 December, 14 December 2017. 182 ACs. Ingested from hand-downloaded ECI Section-10 Statistical Report XLSX."
gujarat,assembly-2022,assembly,Gujarat Assembly · December 2022,2022-12-01,2027-11-30,complete,"Two-phase poll: 1 December, 5 December 2022. 182 ACs. Ingested from hand-downloaded ECI Section-10 Statistical Report XLSX."
gujarat,assembly-1962,assembly,Gujarat Assembly · February 1962,1962-02-01,1967-01-31,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-1967,assembly,Gujarat Assembly · February 1967,1967-02-01,1972-02-29,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-1990,assembly,Gujarat Assembly · February 1990,1990-02-01,1995-01-31,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-1995,assembly,Gujarat Assembly · February 1995,1995-02-01,1998-02-28,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-1975,assembly,Gujarat Assembly · June 1975,1975-06-01,1980-04-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-1972,assembly,Gujarat Assembly · March 1972,1972-03-01,1975-05-31,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-1998,assembly,Gujarat Assembly · March 1998,1998-03-01,2002-11-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-1980,assembly,Gujarat Assembly · May 1980,1980-05-01,1985-04-30,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,assembly-1985,assembly,Gujarat Assembly · May 1985,1985-05-01,1990-01-31,complete,Ingested from ECI Statistical Report Assembly Election panel CSV transcription.
gujarat,general-2019,parliament,Gujarat · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
gujarat,general-2024,parliament,Gujarat · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
haryana,assembly-2000,assembly,Haryana Assembly · February 2000,2000-02-22,2005-02-21,complete,90 ACs. Poll held on 22 February 2000. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
haryana,assembly-2005,assembly,Haryana Assembly · February 2005,2005-02-03,2010-02-02,complete,90 ACs. Poll held on 3 February 2005. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
haryana,assembly-1987,assembly,Haryana Assembly · June 1987,1987-06-17,1992-06-16,complete,90 ACs. ECI statistical-report text records poll date 17 June 1987. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
haryana,assembly-1982,assembly,Haryana Assembly · May 1982,1982-05-19,1987-05-18,complete,90 ACs. Poll held on 19 May 1982. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
haryana,assembly-1991,assembly,Haryana Assembly · May 1991,1991-05-20,1996-05-19,complete,90 ACs. ECI statistical-report text records poll date 20 May 1991. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
haryana,assembly-1996,assembly,Haryana Assembly · May 1996,1996-05-01,2001-04-30,complete,90 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3). Poll day recorded as first of month because the public page gives year-level date context.
haryana,assembly-1977,assembly,Haryana Assembly · October 1977,1977-10-06,1982-10-05,complete,90 ACs. Poll held on 6 October 1977. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
haryana,assembly-2009,assembly,Haryana Assembly · October 2009,2009-10-13,2014-10-12,complete,90 ACs. Poll held on 13 October 2009. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
haryana,assembly-2014,assembly,Haryana Assembly · October 2014,2014-10-15,2019-10-14,complete,90 ACs. Poll held on 15 October 2014. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
haryana,assembly-2019,assembly,Haryana Assembly · October 2019,2019-10-21,2024-10-20,complete,Single-phase poll on 21 October 2019. 90 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
haryana,assembly-2024,assembly,Haryana Assembly · October 2024,2024-10-05,2029-10-04,complete,
haryana,general-2019,parliament,Haryana · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
haryana,general-2024,parliament,Haryana · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
himachal-pradesh,assembly-1990,assembly,Himachal Pradesh Assembly · February 1990,1990-02-27,1995-02-26,complete,67 ACs reported in the panel slice. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
himachal-pradesh,assembly-1998,assembly,Himachal Pradesh Assembly · February-June 1998,1998-06-03,2003-06-02,complete,68 ACs. Public page records polling on 28 February and 3 June 1998; event id follows the first polling month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
himachal-pradesh,assembly-2003,assembly,Himachal Pradesh Assembly · February 2003,2003-02-26,2008-02-25,complete,68 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
himachal-pradesh,assembly-1982,assembly,Himachal Pradesh Assembly · May 1982,1982-05-19,1987-05-18,complete,68 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
himachal-pradesh,assembly-1985,assembly,Himachal Pradesh Assembly · May 1985,1985-05-01,1990-04-30,complete,68 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3). Poll day recorded as first of month because the public page gives year-level date context.
himachal-pradesh,assembly-2007,assembly,Himachal Pradesh Assembly · November-December 2007,2007-12-19,2012-12-18,complete,68 ACs. Public page records polling on 14 November and 19 December 2007; event id follows the first polling month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
himachal-pradesh,assembly-2012,assembly,Himachal Pradesh Assembly · November 2012,2012-11-04,2017-11-03,complete,68 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
himachal-pradesh,assembly-2017,assembly,Himachal Pradesh Assembly · November 2017,2017-11-09,2022-11-08,complete,Single-phase poll on 9 November 2017. 68 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
himachal-pradesh,assembly-2022,assembly,Himachal Pradesh Assembly · November 2022,2022-11-12,2027-11-11,complete,Single-phase poll on 12 November 2022. 68 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
himachal-pradesh,assembly-1977,assembly,Himachal Pradesh Assembly · October 1977,1977-10-01,1982-09-30,complete,68 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3). Poll day recorded as first of month because the public page gives year-level date context.
himachal-pradesh,assembly-1993,assembly,Himachal Pradesh Assembly · September 1993,1993-09-11,1998-09-10,complete,68 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
himachal-pradesh,general-2019,parliament,Himachal Pradesh · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
himachal-pradesh,general-2024,parliament,Himachal Pradesh · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
jammu-and-kashmir,assembly-2024,assembly,Jammu & Kashmir Assembly · September-October 2024,2024-10-01,2029-09-30,complete,First elected government in J&K since 2018. The state was reorganised into a Union Territory on 31 October 2019; this Assembly's powers under Article 239A and the J&K Reorganisation Act 2019 are narrower than a full state's.
jammu-and-kashmir,general-2019,parliament,Jammu and Kashmir · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
jammu-and-kashmir,general-2024,parliament,Jammu and Kashmir (UT) · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
jharkhand,assembly-2009,assembly,Jharkhand Assembly · November-December 2009,2009-12-18,2014-12-17,complete,81 ACs. Five-phase poll from 25 November to 18 December 2009; event date records the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
