axis_id,axis_label,axis_description,allow_compute_on_read_total,value_id,value_label,value_description,deprecated
head_of_account,Head of account,"Fiscal-classification axis for revenue / expenditure indicators (constitutional split — revenue vs capital, plan vs non-plan). Citizen-readable framing; not raw COFOG codes.",true,revenue_receipts,Revenue receipts,,false
landholding,Land-holding bracket,"Self-declared agricultural land holding axis for NDLM Owner Registration (Bharat Pashudhan). Closed enum of 6 brackets the publisher emits per district per vintage: landless_marginal (<1 Ha), small (1.0-1.99 Ha), semi_medium (2.0-3.99 Ha), medium (4.0-9.99 Ha), large (>=10 Ha), and not_specified (registrations without a declared bracket). The parent indicator (``district-livestock-owner-reg-count``) is compute-on-read per Hans D33.8 - its value is the SUM of all 6 brackets. Bracket definitions follow the Agriculture Census 2015-16 categorisation; a future vintage that rebases the brackets MUST extend this enum AND mark the prior set deprecated rather than mutating in place.",true,landless_marginal,Landless / marginal (<1 Ha),,false
landholding,Land-holding bracket,"Self-declared agricultural land holding axis for NDLM Owner Registration (Bharat Pashudhan). Closed enum of 6 brackets the publisher emits per district per vintage: landless_marginal (<1 Ha), small (1.0-1.99 Ha), semi_medium (2.0-3.99 Ha), medium (4.0-9.99 Ha), large (>=10 Ha), and not_specified (registrations without a declared bracket). The parent indicator (``district-livestock-owner-reg-count``) is compute-on-read per Hans D33.8 - its value is the SUM of all 6 brackets. Bracket definitions follow the Agriculture Census 2015-16 categorisation; a future vintage that rebases the brackets MUST extend this enum AND mark the prior set deprecated rather than mutating in place.",true,large,Large (>=10 Ha),,false
landholding,Land-holding bracket,"Self-declared agricultural land holding axis for NDLM Owner Registration (Bharat Pashudhan). Closed enum of 6 brackets the publisher emits per district per vintage: landless_marginal (<1 Ha), small (1.0-1.99 Ha), semi_medium (2.0-3.99 Ha), medium (4.0-9.99 Ha), large (>=10 Ha), and not_specified (registrations without a declared bracket). The parent indicator (``district-livestock-owner-reg-count``) is compute-on-read per Hans D33.8 - its value is the SUM of all 6 brackets. Bracket definitions follow the Agriculture Census 2015-16 categorisation; a future vintage that rebases the brackets MUST extend this enum AND mark the prior set deprecated rather than mutating in place.",true,medium,Medium (4.0-9.99 Ha),,false
landholding,Land-holding bracket,"Self-declared agricultural land holding axis for NDLM Owner Registration (Bharat Pashudhan). Closed enum of 6 brackets the publisher emits per district per vintage: landless_marginal (<1 Ha), small (1.0-1.99 Ha), semi_medium (2.0-3.99 Ha), medium (4.0-9.99 Ha), large (>=10 Ha), and not_specified (registrations without a declared bracket). The parent indicator (``district-livestock-owner-reg-count``) is compute-on-read per Hans D33.8 - its value is the SUM of all 6 brackets. Bracket definitions follow the Agriculture Census 2015-16 categorisation; a future vintage that rebases the brackets MUST extend this enum AND mark the prior set deprecated rather than mutating in place.",true,not_specified,Not specified,Registrations without a declared land-holding bracket; preserved verbatim rather than imputed.,false
landholding,Land-holding bracket,"Self-declared agricultural land holding axis for NDLM Owner Registration (Bharat Pashudhan). Closed enum of 6 brackets the publisher emits per district per vintage: landless_marginal (<1 Ha), small (1.0-1.99 Ha), semi_medium (2.0-3.99 Ha), medium (4.0-9.99 Ha), large (>=10 Ha), and not_specified (registrations without a declared bracket). The parent indicator (``district-livestock-owner-reg-count``) is compute-on-read per Hans D33.8 - its value is the SUM of all 6 brackets. Bracket definitions follow the Agriculture Census 2015-16 categorisation; a future vintage that rebases the brackets MUST extend this enum AND mark the prior set deprecated rather than mutating in place.",true,semi_medium,Semi-medium (2.0-3.99 Ha),,false
landholding,Land-holding bracket,"Self-declared agricultural land holding axis for NDLM Owner Registration (Bharat Pashudhan). Closed enum of 6 brackets the publisher emits per district per vintage: landless_marginal (<1 Ha), small (1.0-1.99 Ha), semi_medium (2.0-3.99 Ha), medium (4.0-9.99 Ha), large (>=10 Ha), and not_specified (registrations without a declared bracket). The parent indicator (``district-livestock-owner-reg-count``) is compute-on-read per Hans D33.8 - its value is the SUM of all 6 brackets. Bracket definitions follow the Agriculture Census 2015-16 categorisation; a future vintage that rebases the brackets MUST extend this enum AND mark the prior set deprecated rather than mutating in place.",true,small,Small (1.0-1.99 Ha),,false
loss_type,Distribution loss type,Per D33.2 — one parent indicator 'state-distribution-losses-pct' faceted by loss-measurement methodology. AT&C is the default (aggregate technical and commercial); T&D is the legacy measure; distribution-only is the narrow technical subset.,false,at_and_c,AT&C loss,Aggregate Technical and Commercial loss (default; PFC discom dashboard canonical).,false
loss_type,Distribution loss type,Per D33.2 — one parent indicator 'state-distribution-losses-pct' faceted by loss-measurement methodology. AT&C is the default (aggregate technical and commercial); T&D is the legacy measure; distribution-only is the narrow technical subset.,false,distribution_only,Distribution-only technical loss,,false
loss_type,Distribution loss type,Per D33.2 — one parent indicator 'state-distribution-losses-pct' faceted by loss-measurement methodology. AT&C is the default (aggregate technical and commercial); T&D is the legacy measure; distribution-only is the narrow technical subset.,false,t_and_d,T&D loss,Transmission and Distribution loss (legacy; pre-AT&C era).,false
methodology_version,Methodology version,FK back to methodology-breaks.json. Per D28 — composes with id-encoded breaks in D30. Lets a parent indicator carry siblings on different methodology vintages with the chart rendering visible vertical break markers per D32.,false,census-2011-frame,Census 2011 sampling frame,,false
methodology_version,Methodology version,FK back to methodology-breaks.json. Per D28 — composes with id-encoded breaks in D30. Lets a parent indicator carry siblings on different methodology vintages with the chart rendering visible vertical break markers per D32.,false,cpi-base-2012,CPI base 2012,,false
methodology_version,Methodology version,FK back to methodology-breaks.json. Per D28 — composes with id-encoded breaks in D30. Lets a parent indicator carry siblings on different methodology vintages with the chart rendering visible vertical break markers per D32.,false,gsdp-base-2004-05,GSDP base 2004-05 (NAS — deprecated),,true
methodology_version,Methodology version,FK back to methodology-breaks.json. Per D28 — composes with id-encoded breaks in D30. Lets a parent indicator carry siblings on different methodology vintages with the chart rendering visible vertical break markers per D32.,false,gsdp-base-2011-12,GSDP base 2011-12 (NAS),,false
methodology_version,Methodology version,FK back to methodology-breaks.json. Per D28 — composes with id-encoded breaks in D30. Lets a parent indicator carry siblings on different methodology vintages with the chart rendering visible vertical break markers per D32.,false,iip-base-2011-12,IIP base 2011-12,,false
methodology_version,Methodology version,FK back to methodology-breaks.json. Per D28 — composes with id-encoded breaks in D30. Lets a parent indicator carry siblings on different methodology vintages with the chart rendering visible vertical break markers per D32.,false,nfhs-5-frame,NFHS-5 (2019-21) sampling frame,,false
oil_product,Oil product,"Refined petroleum product axis for state-wise oil-consumption indicators (NITI Aayog ICED /energy/fuel-sources/oil/ consumptionStateProductTrend). Closed enum of 7 products the publisher emits per state per fiscal year. The parent indicator (``oil-product-consumption-kt``) is compute-on-read per Hans D33.8 - its value is the SUM of all 7 product children. Unlike the fuel_type axis there is no publisher-sub-bucket collapse step; the 7 publisher labels (DIESEL/HSD, PETROL, LPG, SKO, NAPHTHA, PETROLEUM COKE, OTHERS) map 1:1 onto canonical value_ids. Diesel dominates national consumption (transport + agricultural pumps); LPG tracks household-policy coverage (PMUY); petroleum-coke is a refinery by-product used in cement/glass and is air-quality-regulated in NCR.",true,diesel-hsd,Diesel (HSD),,false
oil_product,Oil product,"Refined petroleum product axis for state-wise oil-consumption indicators (NITI Aayog ICED /energy/fuel-sources/oil/ consumptionStateProductTrend). Closed enum of 7 products the publisher emits per state per fiscal year. The parent indicator (``oil-product-consumption-kt``) is compute-on-read per Hans D33.8 - its value is the SUM of all 7 product children. Unlike the fuel_type axis there is no publisher-sub-bucket collapse step; the 7 publisher labels (DIESEL/HSD, PETROL, LPG, SKO, NAPHTHA, PETROLEUM COKE, OTHERS) map 1:1 onto canonical value_ids. Diesel dominates national consumption (transport + agricultural pumps); LPG tracks household-policy coverage (PMUY); petroleum-coke is a refinery by-product used in cement/glass and is air-quality-regulated in NCR.",true,kerosene,Kerosene (SKO),,false
oil_product,Oil product,"Refined petroleum product axis for state-wise oil-consumption indicators (NITI Aayog ICED /energy/fuel-sources/oil/ consumptionStateProductTrend). Closed enum of 7 products the publisher emits per state per fiscal year. The parent indicator (``oil-product-consumption-kt``) is compute-on-read per Hans D33.8 - its value is the SUM of all 7 product children. Unlike the fuel_type axis there is no publisher-sub-bucket collapse step; the 7 publisher labels (DIESEL/HSD, PETROL, LPG, SKO, NAPHTHA, PETROLEUM COKE, OTHERS) map 1:1 onto canonical value_ids. Diesel dominates national consumption (transport + agricultural pumps); LPG tracks household-policy coverage (PMUY); petroleum-coke is a refinery by-product used in cement/glass and is air-quality-regulated in NCR.",true,lpg,LPG,,false
oil_product,Oil product,"Refined petroleum product axis for state-wise oil-consumption indicators (NITI Aayog ICED /energy/fuel-sources/oil/ consumptionStateProductTrend). Closed enum of 7 products the publisher emits per state per fiscal year. The parent indicator (``oil-product-consumption-kt``) is compute-on-read per Hans D33.8 - its value is the SUM of all 7 product children. Unlike the fuel_type axis there is no publisher-sub-bucket collapse step; the 7 publisher labels (DIESEL/HSD, PETROL, LPG, SKO, NAPHTHA, PETROLEUM COKE, OTHERS) map 1:1 onto canonical value_ids. Diesel dominates national consumption (transport + agricultural pumps); LPG tracks household-policy coverage (PMUY); petroleum-coke is a refinery by-product used in cement/glass and is air-quality-regulated in NCR.",true,naphtha,Naphtha,,false
oil_product,Oil product,"Refined petroleum product axis for state-wise oil-consumption indicators (NITI Aayog ICED /energy/fuel-sources/oil/ consumptionStateProductTrend). Closed enum of 7 products the publisher emits per state per fiscal year. The parent indicator (``oil-product-consumption-kt``) is compute-on-read per Hans D33.8 - its value is the SUM of all 7 product children. Unlike the fuel_type axis there is no publisher-sub-bucket collapse step; the 7 publisher labels (DIESEL/HSD, PETROL, LPG, SKO, NAPHTHA, PETROLEUM COKE, OTHERS) map 1:1 onto canonical value_ids. Diesel dominates national consumption (transport + agricultural pumps); LPG tracks household-policy coverage (PMUY); petroleum-coke is a refinery by-product used in cement/glass and is air-quality-regulated in NCR.",true,others,Others,"Publisher catch-all for products that do not fit the 6 named buckets (e.g. fuel oil, ATF, lubricants); preserved verbatim, never imputed into a named bucket.",false
oil_product,Oil product,"Refined petroleum product axis for state-wise oil-consumption indicators (NITI Aayog ICED /energy/fuel-sources/oil/ consumptionStateProductTrend). Closed enum of 7 products the publisher emits per state per fiscal year. The parent indicator (``oil-product-consumption-kt``) is compute-on-read per Hans D33.8 - its value is the SUM of all 7 product children. Unlike the fuel_type axis there is no publisher-sub-bucket collapse step; the 7 publisher labels (DIESEL/HSD, PETROL, LPG, SKO, NAPHTHA, PETROLEUM COKE, OTHERS) map 1:1 onto canonical value_ids. Diesel dominates national consumption (transport + agricultural pumps); LPG tracks household-policy coverage (PMUY); petroleum-coke is a refinery by-product used in cement/glass and is air-quality-regulated in NCR.",true,petrol,Petrol,,false
oil_product,Oil product,"Refined petroleum product axis for state-wise oil-consumption indicators (NITI Aayog ICED /energy/fuel-sources/oil/ consumptionStateProductTrend). Closed enum of 7 products the publisher emits per state per fiscal year. The parent indicator (``oil-product-consumption-kt``) is compute-on-read per Hans D33.8 - its value is the SUM of all 7 product children. Unlike the fuel_type axis there is no publisher-sub-bucket collapse step; the 7 publisher labels (DIESEL/HSD, PETROL, LPG, SKO, NAPHTHA, PETROLEUM COKE, OTHERS) map 1:1 onto canonical value_ids. Diesel dominates national consumption (transport + agricultural pumps); LPG tracks household-policy coverage (PMUY); petroleum-coke is a refinery by-product used in cement/glass and is air-quality-regulated in NCR.",true,petroleum-coke,Petroleum coke,,false
prices_basis,Prices basis,Constant-prices vs current-prices for GVA / GSDP / consumption indicators. Per D33.1 — base-year revisions for constant-prices series get methodology_version + visible break marker per D32.,false,constant,Constant prices,Always paired with a base-year via methodology_version (e.g. 'gsdp-base-2011-12').,false
prices_basis,Prices basis,Constant-prices vs current-prices for GVA / GSDP / consumption indicators. Per D33.1 — base-year revisions for constant-prices series get methodology_version + visible break marker per D32.,false,current,Current prices,,false
residence,Residence,Rural vs urban split. Census-canonical definition; the publisher's rural/urban classification is preserved verbatim (different surveys use slightly different boundaries — NSO vs Census vs NFHS).,true,rural,Rural,,false
residence,Residence,Rural vs urban split. Census-canonical definition; the publisher's rural/urban classification is preserved verbatim (different surveys use slightly different boundaries — NSO vs Census vs NFHS).,true,urban,Urban,,false
rpo_segment,RPO compliance segment,"Three-segment decomposition of state Renewable Purchase Obligation compliance: solar (solar-specific RPO target), non-solar (other-renewables RPO target), total (combined). Targets and compliance are reported separately by ICED for each segment; the total is NOT the sum of the parts (it is the combined-target compliance ratio), so allow_compute_on_read_total is False.",false,non_solar,Non-solar RPO,Compliance with the non-solar (wind + biomass + small-hydro) portion of the state's RPO target. Legacy shard uses the hyphenated label 'non-solar' on its `facet` field; the canonical value_id uses snake_case per the facet-axes value_id regex.,false
rpo_segment,RPO compliance segment,"Three-segment decomposition of state Renewable Purchase Obligation compliance: solar (solar-specific RPO target), non-solar (other-renewables RPO target), total (combined). Targets and compliance are reported separately by ICED for each segment; the total is NOT the sum of the parts (it is the combined-target compliance ratio), so allow_compute_on_read_total is False.",false,solar,Solar RPO,Compliance with the solar-specific portion of the state's Renewable Purchase Obligation target.,false
rpo_segment,RPO compliance segment,"Three-segment decomposition of state Renewable Purchase Obligation compliance: solar (solar-specific RPO target), non-solar (other-renewables RPO target), total (combined). Targets and compliance are reported separately by ICED for each segment; the total is NOT the sum of the parts (it is the combined-target compliance ratio), so allow_compute_on_read_total is False.",false,total,Total RPO,Combined-target RPO compliance (NOT the sum of solar + non-solar -- the combined target is its own regulatory ratio).,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,agriculture,Agriculture,,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,commercial,Commercial,,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,construction,Construction,,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,domestic,Domestic / residential,,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,industry,Industry,,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,manufacturing,Manufacturing,,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,mining,Mining and quarrying,,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,public_admin,Public administration,,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,services,Services,,false
sector,Sector,"End-use / industry sector. Distinct from head_of_account (fiscal-classification axis) and from category (citizen-facing rollup). Used for electricity-consumption-by-sector, GVA-by-industry, employment-by-sector.",true,transport,Transport,,false
