eci_code,short,full,recognition_scope,home_state_codes,gained_year,notes
,BPF,Bodoland People's Front,state,IN-AS,2005,Hagrama Mohilary; Bodoland regional
,UPPL,United People's Party Liberal,state,IN-AS,2020,Pramod Boro; Bodoland regional rival to BPF
,NPF,Naga People's Front,state,IN-MN|IN-NL,1980,Nagaland regional dominant pre-NDPP
,NDPP,Nationalist Democratic Progressive Party,state,IN-NL,2018,Neiphiu Rio split from NPF 2017
,MNF,Mizo National Front,state,IN-MZ,1987,Laldenga-founded post-Mizo Accord
,ZPM,Zoram People's Movement,state,IN-MZ,2023,Lalduhoma alliance; won Mizoram 2023 AE
,SDF,Sikkim Democratic Front,state,IN-SK,1993,Pawan Chamling founded; ruled SK 1994-2019
,SKM,Sikkim Krantikari Morcha,state,IN-SK,2013,Prem Singh Tamang founded; defeated SDF in 2019
,IUML,Indian Union Muslim League,state,IN-KL,1948,Kerala-rooted; allied with UDF
,KEC,Kerala Congress,state,IN-KL,1964,K.M. Mani; factionalised into KEC(M) + KEC(J)
,KCM,Kerala Congress (M),state,IN-KL,1979,K.M. Mani's faction
,RSP,Revolutionary Socialist Party,state,IN-KL|IN-WB,1948,Left party historic ally of CPM
,AIFB,All India Forward Bloc,state,IN-WB,1948,Subhas Bose-founded; West Bengal Left-front member
,AIMIM,All India Majlis-e-Ittehadul Muslimeen,state,IN-TG,2014,Asaduddin Owaisi; rooted in Hyderabad
,SP,Samajwadi Party,state,IN-UP,1992,Mulayam Singh Yadav founded post-JD breakup
,RLD,Rashtriya Lok Dal,state,IN-UP,1996,Ajit Singh / Jayant Chaudhary; Western UP Jat base
,HAMS,Hindustani Awam Morcha (Secular),state,IN-BR,2015,Jitan Ram Manjhi split from JDU 2015
,VBA,Vanchit Bahujan Aghadi,unrecognised_registered,IN-MH,2018,Prakash Ambedkar; Dalit/OBC alliance
,AJSU,All Jharkhand Students Union,state,IN-JH,2002,Sudesh Mahto; Jharkhand regional
,JMM,Jharkhand Mukti Morcha,state,IN-JH,1972,Shibu Soren; Jharkhand state-creation movement
,INLD,Indian National Lok Dal,state,IN-HR,1996,Devi Lal / Om Prakash Chautala; Haryana Jat base
,JJP,Jannayak Janata Party,unrecognised_registered,IN-HR,2018,Dushyant Chautala split from INLD 2018; lost state status post-2024 HR AE
,SAD,Shiromani Akali Dal,state,IN-PB,1920,Sikh-rooted; oldest Indian regional party still active
,SADA,Shiromani Akali Dal (Amritsar),unrecognised_registered,IN-PB,1994,Simranjit Singh Mann faction
,MGP,Maharashtrawadi Gomantak Party,state,IN-GA,1963,Goa regional
,IPFT,Indigenous People's Front of Tripura,state,IN-TR,2018,Tribal regional Tripura
,TIPRA,Tipra Motha Party,state,IN-TR,2024,Pradyot Manikya tribal regional; recognised post-2023 TR AE
,DMDK,Desiya Murpokku Dravida Kazhagam,unrecognised_registered,IN-TN,2009,Vijayakanth founded 2005; lost state status post-2021
,PMK,Pattali Makkal Katchi,unrecognised_registered,IN-TN,1989,S. Ramadoss; Vanniyar caste base
,VCK,Viduthalai Chiruthaigal Katchi,unrecognised_registered,IN-TN,2007,Thol. Thirumavalavan; Dalit Liberation
,LJPRV,Lok Janshakti Party (Ram Vilas),unrecognised_registered,IN-BR,2021,Chirag Paswan faction; founded post-2021 LJP split
,RLJP,Rashtriya Lok Janshakti Party,unrecognised_registered,IN-BR,2021,Pashupati Kumar Paras faction; founded post-2021 LJP split
,RPI,Republican Party of India (Athawale),unrecognised_registered,IN-MH,1957,Ramdas Athawale faction; Ambedkarite
,CPIML,Communist Party of India (Marxist-Leninist) Liberation,state,IN-BR,1974,Dipankar Bhattacharya; Bihar Left base
,TMC,Tamil Maanila Congress,unrecognised_registered,IN-TN,1996,GK Moopanar split from INC 1996; lost state status
,SBSP,Suheldev Bharatiya Samaj Party,unrecognised_registered,IN-UP,2002,Om Prakash Rajbhar; UP backward caste
,AAPP,Apna Dal (Sonelal),unrecognised_registered,IN-UP,2009,Anupriya Patel faction; UP Kurmi base
,AD,Apna Dal,unrecognised_registered,IN-UP,1995,Sonelal Patel founded
,AIRJ,Asom Jatiya Parishad,unrecognised_registered,IN-AS,2020,Lurinjyoti Gogoi; anti-CAA Assamese regional
,RPP,Raijor Dal,unrecognised_registered,IN-AS,2020,Akhil Gogoi; anti-CAA Assamese regional
,GFP,Goa Forward Party,unrecognised_registered,IN-GA,2016,Vijai Sardesai; Goan-identity regional
,TVK,Tamilaga Vettri Kazhagam,unrecognised_registered,IN-TN,2024,Actor Vijay's party founded Feb 2024
,PT,Puthiya Tamilagam,unrecognised_registered,IN-TN,1997,K. Krishnasamy; Dalit Devendrakula base
