legacy_path,topic_or_family,status,target_phase,replacement_indicator_id,replacement_facet_values,notes
datasets/indicators/in/energy/india_capacity_pipeline_gw.json,energy,migrate,2,india-capacity-pipeline-gw,,Forward-looking pipeline; separate parent (unit GW not MW).
datasets/indicators/in/energy/india_thermal_capacity_retired_mw.json,energy,migrate,2,india-thermal-capacity-retired-mw,,Retired capacity; semantically distinct from current installed.
datasets/indicators/in/energy/state_atc_losses_pct.json,energy,consolidate,2,state-distribution-losses-pct,"{""loss_type"":""atc""}",D33.2 — ONE parent + loss_type facet.
datasets/indicators/in/energy/state_distribution_td_loss_pct.json,energy,consolidate,2,state-distribution-losses-pct,"{""loss_type"":""tnd""}",D33.2.
datasets/indicators/in/energy/state_distribution_billing_efficiency_pct.json,energy,migrate,2,state-distribution-billing-efficiency-pct,,Distinct measure from losses; separate parent.
datasets/indicators/in/energy/state_distribution_collection_efficiency_pct.json,energy,migrate,2,state-distribution-collection-efficiency-pct,,Distinct measure.
datasets/indicators/in/energy/state_acs_arr_gap_inr_per_kwh.json,energy,migrate,2,state-acs-arr-gap-inr-per-kwh,,Discom financial health indicator.
datasets/indicators/in/energy/state_plant_load_factor_pct.json,energy,migrate,2,state-plf-pct,,PLF is canonical thermal-fleet utilisation measure.
datasets/indicators/in/energy/state_rpo_compliance_pct.json,energy,migrate,2,rpo-compliance-pct,,Renewable Purchase Obligation compliance.
datasets/indicators/in/energy/state_electricity_generation_by_source_gwh.json,energy,consolidate,2,state-electricity-generation-gwh,{},Parent. Facet-explode children carry fuel_type. D33.8 total = compute-on-read.
datasets/indicators/in/energy/state_electricity_generation_mu.json,energy,drop,2,,,Same measure different unit (MU vs GWh). 1 MU = 1 GWh; keep GWh as canonical unit per OWID convention.
datasets/indicators/in/energy/state_coal_consumption_mt.json,energy,migrate,2,state-coal-consumption-mt,,Fuel input; distinct from generation output.
datasets/indicators/in/energy/state_oil_product_consumption_kt.json,energy,migrate,2,oil-product-consumption-kt,,Petroleum products; PPAC source.
datasets/indicators/in/energy/state_power_sector_co2_emissions_mtco2.json,environment,migrate,2,state-power-sector-co2-mt,,Bridges energy + environment families; classified under environment per D32 emission-source convention.
datasets/indicators/in/energy/state_electricity_peak_demand_mw.json,energy,consolidate,2,state-peak-demand-mw,"{""cadence_view"":""annual_max""}",Same logical measure as state_peak_demand_mw with explicit cadence view.
datasets/indicators/in/energy/state_peak_demand_mw.json,energy,migrate,2,state-peak-demand-mw,,Canonical peak-demand parent.
datasets/indicators/in/energy/state_peak_electricity_demand_mw.json,energy,drop,2,,,Triplicate of state-peak-demand-mw; reconcile via UPSERT.
datasets/indicators/in/energy/state_peak_met_mw.json,energy,migrate,2,state-peak-met-mw,,Distinct from demand — supply that was actually met; gap = demand - met.
datasets/indicators/in/energy/state_electricity_sales_mu.json,energy,migrate,2,state-electricity-sales-gwh,,Convert MU→GWh on migrate; preserve original in source.vintage.
datasets/indicators/in/energy/state_power_availability_mu.json,energy,migrate,2,state-power-availability-gwh,,Convert MU→GWh on migrate.
datasets/indicators/in/energy/state_power_requirement_mu.json,energy,migrate,2,state-power-requirement-gwh,,Convert MU→GWh on migrate.
datasets/indicators/in/energy/state_power_purchase_share_pct.json,energy,migrate,2,state-power-purchase-share-pct,,Discom procurement mix.
datasets/indicators/in/energy/state_per_capita_availability_kwh.json,energy,migrate,2,state-per-capita-electricity-kwh,,D33.5 — derived indicator first-class.
datasets/indicators/in/energy/state_per_capita_electricity_consumption_kwh.json,energy,drop,2,,,Same measure as state-per-capita-electricity-kwh with different source vintage; reconcile.
datasets/indicators/in/energy/national_primary_energy_supply_mtoe.json,energy,migrate,2,india-primary-energy-supply-mtoe,,National-level. Hans flag: confirm entity_type=country in entities.json.
datasets/indicators/in/energy/national_final_energy_consumption_by_sector_mtoe.json,energy,consolidate,2,india-final-energy-consumption-mtoe,{},Parent. Children explode by sector facet.
datasets/indicators/in/energy/national_renewable_potential_vs_installed_mw.json,energy,migrate,2,india-renewable-potential-vs-installed-mw,,Two-series indicator (potential + installed); explode TBD in Phase 2 by Max.
#
# ----- FISCAL (Phase 3) — 22 legacy artifacts; fiscal-actor doctrine applies (§9 of THE PLAN).
# ----- Each row needs attribution_geography + implementing_authority in indicator catalogue.
datasets/indicators/in/fiscal/state_own_tax_revenue_inr_crore.json,fiscal,migrate,3,state-own-tax-revenue-inr-crore,,attribution_geography=where_billed; implementing_authority=state.
datasets/indicators/in/fiscal/state_non_tax_revenue_inr_crore.json,fiscal,migrate,3,state-non-tax-revenue-inr-crore,,implementing_authority=state.
datasets/indicators/in/fiscal/state_share_central_taxes_inr_crore.json,fiscal,consolidate,3,state-centre-transfers-inr-crore,"{""transfer_type"":""tax_devolution""}",D31 transfer_type facet.
datasets/indicators/in/fiscal/state_grants_in_aid_inr_crore.json,fiscal,consolidate,3,state-centre-transfers-inr-crore,"{""transfer_type"":""grants""}",D31 transfer_type facet.
datasets/indicators/in/fiscal/net_transfers_from_centre.json,fiscal,consolidate,3,state-centre-transfers-inr-crore,"{""transfer_type"":""net""}",D31 transfer_type facet.
datasets/indicators/in/fiscal/state_revenue_expenditure_inr_crore.json,fiscal,migrate,3,state-revenue-expenditure-inr-crore,,implementing_authority=state.
datasets/indicators/in/fiscal/state_pension_expenditure_inr_crore.json,fiscal,migrate,3,state-pension-expenditure-inr-crore,,implementing_authority=state; head_of_account=pension.
datasets/indicators/in/fiscal/state_external_debt_inr_crore.json,fiscal,migrate,3,state-external-debt-inr-crore,,
datasets/indicators/in/fiscal/outstanding_debt_pct_gsdp.json,fiscal,migrate,3,state-outstanding-debt-pct-gsdp,,Derived ratio first-class per D33.5.
datasets/indicators/in/fiscal/centre_transfers_gross.json,fiscal,consolidate,3,centre-transfers-to-states-inr-crore,"{""transfer_type"":""gross""}",Centre-side view of same flow.
datasets/indicators/in/fiscal/centre_transfers_to_states_gross.json,fiscal,drop,3,,,Duplicate of centre_transfers_gross.
datasets/indicators/in/fiscal/centre_transfers_to_states_grants.json,fiscal,consolidate,3,centre-transfers-to-states-inr-crore,"{""transfer_type"":""grants""}",
datasets/indicators/in/fiscal/centre_transfers_to_states_net.json,fiscal,consolidate,3,centre-transfers-to-states-inr-crore,"{""transfer_type"":""net""}",
datasets/indicators/in/fiscal/centre_transfers_to_states_tax_devolution.json,fiscal,consolidate,3,centre-transfers-to-states-inr-crore,"{""transfer_type"":""tax_devolution""}",
datasets/indicators/in/fiscal/states_combined_gross_fiscal_deficit.json,fiscal,migrate,3,states-combined-gross-fiscal-deficit-inr-crore,,entity_id=IN-states-combined; attribution_geography=states_combined.
datasets/indicators/in/fiscal/states_combined_revenue_deficit.json,fiscal,migrate,3,states-combined-revenue-deficit-inr-crore,,
datasets/indicators/in/fiscal/states_combined_primary_deficit.json,fiscal,migrate,3,states-combined-primary-deficit-inr-crore,,
datasets/indicators/in/fiscal/states_combined_primary_revenue_deficit.json,fiscal,migrate,3,states-combined-primary-revenue-deficit-inr-crore,,
datasets/indicators/in/fiscal/union_gross_fiscal_deficit.json,fiscal,migrate,3,union-gross-fiscal-deficit-inr-crore,,implementing_authority=union.
datasets/indicators/in/fiscal/union_revenue_deficit.json,fiscal,migrate,3,union-revenue-deficit-inr-crore,,
datasets/indicators/in/fiscal/union_primary_deficit.json,fiscal,migrate,3,union-primary-deficit-inr-crore,,
datasets/indicators/in/fiscal/union_primary_revenue_deficit.json,fiscal,migrate,3,union-primary-revenue-deficit-inr-crore,,
#
# ----- HEALTH (Phase 3) — 6 legacy artifacts.
# DELETED PR-D6: datasets/indicators/in/health/state_infant_mortality_rate_per_1000.json,health,deleted,3,,, retired (SRS paused; no canonical successor)
# DELETED PR-D6: datasets/indicators/in/health/state_birth_rate_per_1000.json,health,deleted,3,,, retired (SRS paused; no canonical successor)
# DELETED PR-D6: datasets/indicators/in/health/state_death_rate_per_1000.json,health,deleted,3,,, retired (SRS paused; no canonical successor)
# DELETED PR-D6: datasets/indicators/in/health/state_total_fertility_rate.json,health,deleted,3,,, retired (SRS paused; no canonical successor)
# DELETED PR-D6: datasets/indicators/in/health/state_public_health_expenditure_inr_crore.json,fiscal,deleted,3,,, retired (SRS paused; no canonical successor)
# DELETED PR-D6: datasets/indicators/in/health/state_health_expenditure_pct_total_expenditure.json,fiscal,deleted,3,,, retired (RBI Statement 27 ingest removed; no canonical successor)
#
# ----- DEMOGRAPHY (Phase 3) — 3 legacy artifacts (2 retired in PR-D4; lakhs deferred).
# datasets/indicators/in/demography/state_population_by_residence_count.json,demography,deleted,3,,,Retired in PR-D4 — Census 2011 was last completed; 2021 postponed; six decennial points = position not trajectory.
# datasets/indicators/in/demography/state_population_by_sex_count.json,demography,deleted,3,,,Retired in PR-D4 — same rationale as residence shard.
datasets/indicators/in/demography/state_population_lakhs.json,demography,drop,3,,,Same measure as state-population-count in different unit (lakhs); convert and reconcile via UPSERT.
#
# ----- ECONOMY (Phase 3 — splits into fiscal/economy classification by Max).
# datasets/indicators/in/economy/state_gdp_inr_crore.json,economy,consolidate,3,state-gsdp-inr-crore,"{""prices_basis"":""current""}",D33.1 — GSDP base-year revisions via methodology_version + id-encoded variants; current vs constant prices via prices_basis facet.  # PR-B6-row9: merged into economy/gdp_inr_crore with entity_kinds=[country,state]
# datasets/indicators/in/economy/state_gdp_current_inr_lakh_crore.json,economy,drop,3,,,Same as state_gdp_inr_crore unit conversion; reconcile.  # PR-B6-row9: deleted (exact unit-converted subset of merged economy/gdp_inr_crore current facet)
datasets/indicators/in/economy/state_gdp_constant_2011_12_inr_lakh_crore.json,economy,consolidate,3,state-gsdp-inr-crore,"{""prices_basis"":""constant_2011_12""}",D33.1 — base-year-encoded child.
# datasets/indicators/in/economy/state_nsdp_current_inr_crore.json,economy,deleted,3,nsdp_inr_crore (faceted current+constant; PR-B6-row10),"{""prices_basis"":""current""}",
# datasets/indicators/in/economy/state_nsdp_constant_inr_crore.json,economy,deleted,3,nsdp_inr_crore (faceted current+constant; PR-B6-row10),"{""prices_basis"":""constant_2011_12""}",
datasets/indicators/in/economy/state_per_capita_nsdp_current_inr.json,economy,deleted,3,economy/per_capita_nsdp_current_inr,,PR-B6-row7: short ICED slice retired; RBI-spliced long history kept as economy/per_capita_nsdp_current_inr.
datasets/indicators/in/economy/state_per_capita_nsdp_constant_2011_12_inr.json,economy,deleted,3,economy/per_capita_nsdp_constant_inr,,PR-B6-row8: short ICED slice retired; RBI-spliced long history kept as economy/per_capita_nsdp_constant_inr.
datasets/indicators/in/economy/per_capita_nsdp_current_inr.json,economy,renamed,3,economy/per_capita_nsdp_current_inr,,PR-B6-row7: renamed from state_per_capita_nsdp_current_inr_long.json; grain prefix + _long suffix dropped per ADR-0044.
datasets/indicators/in/economy/state_per_capita_nsdp_constant_inr_long.json,economy,renamed,3,economy/per_capita_nsdp_constant_inr,,PR-B6-row8: renamed from state_per_capita_nsdp_constant_inr_long.json; grain prefix + _long suffix dropped per ADR-0044.
datasets/indicators/in/economy/state_per_capita_consumption_inr.json,economy,migrate,3,state-per-capita-consumption-inr,,Distinct measure (consumption vs income); first-class.
# datasets/indicators/in/economy/state_sectoral_gva_current_inr_lakh_crore.json,economy,deleted,3,sectoral_gva_inr_crore (faceted current+constant; PR-B6-row11),"{""prices_basis"":""current""}",
# datasets/indicators/in/economy/state_sectoral_gva_constant_2011_12_inr_lakh_crore.json,economy,deleted,3,sectoral_gva_inr_crore (faceted current+constant; PR-B6-row11),"{""prices_basis"":""constant_2011_12""}",
# datasets/indicators/in/economy/india_gdp_inr_crore.json,economy,renamed,B6-row4,economy/gdp_inr_crore,,Renamed to drop india_ grain-prefix per ADR-0044 (PR-B6-row4 #_pending_).
# datasets/indicators/in/economy/national_gdp_current_inr_lakh_crore.json,economy,deleted,B6-row4,,,Deleted: duplicate of india_gdp_inr_crore current facet, exact unit-converted subset (lakh_crore x 1e5 = crore; max rel diff 1.4e-16 across 13 shared FYs). Retired in PR-B6-row4 #_pending_.
datasets/indicators/in/economy/gva_by_industry_constant_inr_crore.json,economy,renamed,3,gva-by-industry-constant-inr-crore,"{""prices_basis"":""constant_2011_12""}",Renamed from india_gva_by_industry_constant_inr_crore (PR-B6-row5 prefix strip; national_*_constant + national_*_quarterly collapse deferred pending schema v5.0 frequency-as-row-column).
datasets/indicators/in/economy/national_gva_by_industry_constant_2011_12_inr_crore.json,economy,drop,3,,,Duplicate of india_gva_by_industry_constant.
datasets/indicators/in/economy/national_gva_by_industry_quarterly_constant_2011_12_inr_crore.json,economy,consolidate,3,india-gva-by-industry-inr-crore,"{""prices_basis"":""constant_2011_12"",""cadence"":""quarterly_fy""}",Same parent with quarterly cadence; period_seq 1..4 per year.
datasets/indicators/in/economy/national_macro_aggregates_constant_2011_12_inr_crore.json,economy,migrate,3,india-macro-aggregates-inr-crore,,Multi-measure rollup; explode TBD in Phase 3 by Max.
datasets/indicators/in/economy/india_external_balance_inr_crore.json,economy,migrate,3,india-external-balance-inr-crore,,BoP indicator.
datasets/indicators/in/economy/india_iip_index_2011_12.json,economy,migrate,3,india-iip-index-2011-12,,IIP base 2011-12 in id per D28; future rebases get new id.
#
# ----- ENVIRONMENT (queued — not in §9 Phase 3 family list; revisit before Phase 4).
datasets/indicators/in/environment/state_pm25_annual_mean_ug_m3.json,environment,queue,4,,,Phase 4 candidate; CPCB source. Max: assess priority before Phase 4 kickoff.
datasets/indicators/in/environment/state_pm10_annual_mean_ug_m3.json,environment,queue,4,,,
datasets/indicators/in/environment/state_no2_annual_mean_ug_m3.json,environment,queue,4,,,
datasets/indicators/in/environment/state_so2_annual_mean_ug_m3.json,environment,queue,4,,,
datasets/indicators/in/environment/state_thermal_fgd_installed_share_pct.json,environment,queue,4,,,Power-sector environmental compliance; pair with power-sector CO2.
datasets/indicators/in/environment/india_ghg_emissions_mtco2e_by_sector.json,environment,queue,4,,,BUR vintage; check methodology_version applicability.
datasets/indicators/in/environment/india_ghg_emissions_by_subsector_ggco2e.json,environment,queue,4,,,Higher-resolution variant of above; consolidate at ingest.
#
# ----- PRICES (queued — Phase 3 has fiscal/demography/education/health; prices follows).
# datasets/indicators/in/prices/national_cpi_combined_index.json,prices,deleted,3.5,,,PR-D1 — no canonical successor; state CPI lives in post-B8 facetted prices/cpi_inflation_pct.
# datasets/indicators/in/prices/national_cpi_iw_index.json,prices,deleted,3.5,,,PR-D1 — no canonical successor.
# datasets/indicators/in/prices/national_wpi_all_commodities.json,prices,deleted,3.5,,,PR-D1 — no canonical successor.
datasets/indicators/in/prices/state_cpi_general_inflation.json,prices,queue,3.5,,,D33.7 — CPI categories with combined_yoy as facet value.
datasets/indicators/in/prices/state_cpi_food_inflation.json,prices,queue,3.5,,,Same parent + cpi_category facet.
datasets/indicators/in/prices/state_cpi_fuel_inflation.json,prices,queue,3.5,,,Same parent + cpi_category facet.
datasets/indicators/in/prices/state_cpi_housing_inflation.json,prices,queue,3.5,,,Same parent + cpi_category facet.
#
# ----- HUMAN DEVELOPMENT (queued — single artifact; UNDP source).
datasets/indicators/in/human_development/state_hdi.json,human_development,queue,4,,,Phase 4 candidate; UNDP NHDR. Cadence ad_hoc.
#
# ----- EOF
# Counts:
#   migrate     — see status column
#   consolidate — see status column
#   drop        — see status column
#   queue       — see status column
#
# Open consolidation questions flagged in 'notes' — Max + Hans pre-Phase-2 sweep:
#   1. installed-capacity 'allocation_basis' facet axis (geographical vs contractual) — register in facet-axes.json?
#   2. renewable fuel_type sub-split (solar utility / solar rooftop / wind / biomass / SHP) — drive from MNRE adapter or pre-declare?
#   3. india vs state national-level totals — confirm entity_type=country convention in entities.json for national rows.
#   4. national_renewable_potential_vs_installed_mw — explode into two parents (potential, installed) or single parent with measure facet?
#   5. india-macro-aggregates explosion — Max to enumerate constituent series before Phase 3 ingest.
#   6. CPI combined_yoy as cpi_category facet value (D33.7) vs first-class indicator — confirm at Phase 3.5 kickoff.

# ===========================================================================
# Phase-0 closeout amendment (2026-05-20) — four-way concurrence (Hans+Max+Jony+Fowler)
# See TODO/20260517-canonical-long-format-pivot.md §0e.10.
# Locks the disposition for the four legacy/orphan trees still on disk at end of
# Phase 1. Rows below appended at T.0a commit; ledger FROZEN at T.0c commit
# (see EOF sentinel that lands with T.0c).
# ===========================================================================
datasets/people/AcGenApr2021/,elections,drop,Phase0-closeout-T.0c,,,Bios lifted to dim_candidates.parquet v1.2 by PR-S.1 + PR-S.2 (commit dc06dd77 + follow-ups). The 3983 JSONs are now orphan output; no reader consumes them. Frontend already off them. Retired by T.0c per §0e.10.3. Commit history (git log) is the backup per user direction "commit IS the backup".
datasets/elections/*/*/results.csv,elections,drop,Phase0-closeout-T.0c,,,CSV is OUTPUT projection emitted by backend/yen_gov/emit/csv_bundle.py from canonical election_results.parquet — NOT INPUT to the canonical writer. Holy Law #10 (no JSON projections of canonical data) covers CSV by the same spirit. Researchers regenerate on demand via COPY (SELECT * FROM read_parquet('elections/state=in_s22/election_results.parquet') WHERE event_id='...') TO STDOUT (FORMAT csv). 41 files retired by T.0c.
datasets/governments/in/states/<S>/cm_terms.json,governments,migrate,Phase0-closeout-T.0a,office_holdings,,G.1 closeout: compiled to datasets/governments/governments_office_holdings.parquet + datasets/governments/dim_offices.parquet by new backend/yen_gov/canonical/cm_terms_seed.py at T.0a. The 31 JSON files STAY on disk as editorial source-of-truth (hand-edited, regime/notes/references); seed re-runs on every emit. Office IDs follow §0e.10.2-A shape: IN-PM / IN-PRES / IN-S22-CM / IN-S22-GOV etc.
datasets/reference/in/,taxonomy,migrate,Phase0-closeout-T.0a+T.0b+T.0c,,,Per-file dispositions locked in TODO/20260517-canonical-long-format-pivot.md §0e.10.4. End state once T.0c lands: datasets/reference/ retires entirely except indicators-completeness.json + indicators-operator-state.json (retired at T.3 per §0e.7). Lifted destinations: taxonomy/ (state_tiers / topics / election_events / lgd/<role>-YYYY-MM-DD.csv + latest pointer / entities.parquet entity_type='district') + frontend/src/lib/unmapped-regions.ts (inline TS literal for render-time chrome).

datasets/reference/in/upstream-sources.json,taxonomy,drop,Phase0-closeout-T.0c-ii-A,,,Subsumed by adapter-generated datasets/taxonomy/sources.parquet per §12 v2.0 (ADR-0032). Sibling datasets/schemas/upstream-sources.schema.json also retired in the same commit. Zero code consumers across backend/frontend/admin/tools (verified by grep gate, 2026-05-21). Docs-only reference in docs/architecture/backend/sources-rbi-hbs-ie-centre-deficits.md kept (historical).
datasets/boundaries/in/country/IN.json,boundaries,drop,Phase0-closeout-T.0c-ii-A,,,Orphan scaffolding created 2026-05-17 for a future Phase-3b country-entity loader that never shipped. Zero code consumers across backend/frontend/admin/tools (verified 2026-05-21). ADR-0030 D25 + ADR-0031 references are docs-only. Per user "commit IS the backup" rule: deletion is git-revertable in one line when Phase 3b actually starts. Empty datasets/boundaries/in/country/ directory removed in the same commit.
datasets/reference/in/unmapped_regions.json,taxonomy,drop,Phase0-closeout-T.0c-ii-B.1,,,Hand-curated 2-entry list of UTs surfaced as legend-strip chips (ADR-0029). The list is editorial (not operator-rotated), never appended to, and exists solely as render-time chrome for IndicatorChoropleth. The fetch+JSON+schema round-trip was load for no benefit. Inlined to frontend/src/lib/unmapped-region-chips.ts as UNMAPPED_REGIONS constant. Sole consumer fetchUnmappedRegions() kept its async signature so the IndicatorChoropleth.svelte call site is byte-identical.
datasets/schemas/unmapped-regions.schema.json,taxonomy,drop,Phase0-closeout-T.0c-ii-B.1,,,Orphan schema after its sole validatee (datasets/reference/in/unmapped_regions.json) lifted to inline TS literal at T.0c-ii-B.1. Schema validated zero files after the lift; per CLAUDE.md �11 schemas with zero consumers should not linger on disk.
frontend/src/lib/data.ts::fetchDistricts,reference,migrate,Phase0-closeout-T.0c-ii-B.2,frontend/src/lib/view-models/districts.ts::loadDistricts,,Ported the district list consumer from JSON-fetch (datasets/reference/in/states/<S>/districts.json across 6 states) to a DuckDB-WASM query against taxonomy.entities (legacy_id AS id + display_name AS name where entity_type=district and parent_entity_id=IN-<S>). The 145 district rows have lived in entities.parquet since T.0a-ii; this PR just retires the legacy JSON-fetch path. datasets/manifest.json regenerated to register taxonomy.entities (185 rows total: 1 country + 29 states + 10 UTs + 145 districts). The 6 districts.json files on disk REMAIN as hand-authored curator input feeding entities.parquet via emit-taxonomy; the frontend just no longer fetches them directly. fetchDistricts + DistrictsCollection + DistrictEntry deleted from data.ts; data.test.ts case retired with the same "moved to view-model loader" .skip pattern as fetchResultSummary / fetchParties / fetchPersonEntity.
