party_id_or_short,full_name,native_script_name,brand_colour_hex,symbol_asset_url,wikipedia_url,myneta_url,recognition_blurb,notes
parties.IN.LJP,Lok Janshakti Party,लोक जनशक्ति पार्टी,#0F6533,,https://en.wikipedia.org/wiki/Lok_Janshakti_Party,,State party (BR) historic; original LJP defunct post-2021 split,Founded 2000 by Ram Vilas Paswan
parties.IN.LJPRV,Lok Janshakti Party (Ram Vilas),लोक जनशक्ति पार्टी (राम विलास),#5B006A,party-symbols/helicopter.jpg,https://en.wikipedia.org/wiki/Lok_Janshakti_Party_(Ram_Vilas),https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=LJPRV,State party (BR); Helicopter symbol; purple #5B006A,Chirag Paswan's faction post-2021 LJP split
parties.IN.BJD,Biju Janata Dal,ବିଜୁ ଜନତା ଦଳ,#70A548,party-symbols/conch.svg,https://en.wikipedia.org/wiki/Biju_Janata_Dal,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=BJD,State party (OR); Conch symbol; green #70A548,Founded 1997 by Naveen Patnaik; Odia native script
parties.IN.TDP,Telugu Desam Party,తెలుగు దేశం పార్టీ,#FFED00,party-symbols/cycle.png,https://en.wikipedia.org/wiki/Telugu_Desam_Party,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=TDP,State party (AP); Bicycle symbol; yellow #FFED00,Founded 1982 by N.T. Rama Rao; Telugu native script
parties.IN.YSRCP,Yuvajana Sramika Rythu Congress Party,యువజన శ్రామిక రైతు కాంగ్రెస్ పార్టీ,#1569C7,party-symbols/ceiling-fan.svg,https://en.wikipedia.org/wiki/YSR_Congress_Party,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=YSRCP,State party (AP); Ceiling-Fan symbol; blue #1569C7,Founded 2011 by Y.S. Jaganmohan Reddy
parties.IN.BRS,Bharat Rashtra Samithi,భారత రాష్ట్ర సమితి,#F84996,party-symbols/car.png,https://en.wikipedia.org/wiki/Bharat_Rashtra_Samithi,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=BRS,State party (TG); Car symbol; pink #F84996,Renamed from TRS in Oct 2022; founded 2001
parties.IN.JSP,Janasena Party,జనసేన పార్టీ,#E8232A,party-symbols/glass-tumbler.svg,https://en.wikipedia.org/wiki/Janasena_Party,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=JSP,State party (AP); Glass-Tumbler symbol; red #E8232A,Founded 2014 by Pawan Kalyan
parties.IN.AIMIM,All India Majlis-e-Ittehadul Muslimeen,آل انڈیا مجلس اتحاد المسلمین,#0C6B4B,party-symbols/kite.svg,https://en.wikipedia.org/wiki/All_India_Majlis-e-Ittehadul_Muslimeen,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=AIMIM,State party (TG); Kite symbol; green #0C6B4B,Founded 1927 (modern 1957 reorganisation); Urdu native script
parties.IN.SAD,Shiromani Akali Dal,ਸ਼੍ਰੋਮਣੀ ਅਕਾਲੀ ਦਲ,#0F204A,party-symbols/scales.svg,https://en.wikipedia.org/wiki/Shiromani_Akali_Dal,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=SAD,State party (PB); Scales symbol; navy #0F204A,Founded 1920; Punjabi (Gurmukhi) native script
parties.IN.AGP,Asom Gana Parishad,অসম গণ পৰিষদ,#99CCFF,party-symbols/elephant-agp.png,https://en.wikipedia.org/wiki/Asom_Gana_Parishad,,State party (AS); Elephant symbol; light-blue #99CCFF,Founded 1985 from Assam Movement; Assamese native script
parties.IN.JMM,Jharkhand Mukti Morcha,झारखंड मुक्ति मोर्चा,#337316,party-symbols/bow-and-arrow.svg,https://en.wikipedia.org/wiki/Jharkhand_Mukti_Morcha,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=JMM,State party (JH); Bow-and-Arrow symbol; green #337316,Founded 1972 by Shibu Soren
parties.IN.INLD,Indian National Lok Dal,इंडियन नेशनल लोक दल,#005747,party-symbols/spectacles.svg,https://en.wikipedia.org/wiki/Indian_National_Lok_Dal,,State party (HR); Spectacles symbol; teal #005747,Founded 1996 by Om Prakash Chautala
parties.IN.JJP,Jannayak Janta Party,जननायक जनता पार्टी,#71B218,party-symbols/key.svg,https://en.wikipedia.org/wiki/Jannayak_Janta_Party,,Unrecognised registered (HR); Key symbol; green #71B218,Founded 2018 by Dushyant Chautala split from INLD
parties.IN.JKNC,Jammu and Kashmir National Conference,جموں و کشمیر نیشنل کانفرنس,#F22A20,party-symbols/plough.png,https://en.wikipedia.org/wiki/Jammu_%26_Kashmir_National_Conference,,State party (JK); Plough symbol; red #F22A20,Founded 1932; Urdu native script
parties.IN.JKPDP,Jammu and Kashmir Peoples Democratic Party,جموں و کشمیر پیپلز ڈیموکریٹک پارٹی,#058532,party-symbols/ink-pot-and-pen.png,https://en.wikipedia.org/wiki/Jammu_and_Kashmir_Peoples_Democratic_Party,,State party (JK); Ink-Pot-and-Pen symbol; green #058532,Founded 1999 by Mufti Mohammad Sayeed; wiki URL aligned to canonical 'and' form
parties.IN.NPF,Naga People's Front,,#067A5C,,https://en.wikipedia.org/wiki/Naga_People%27s_Front,,State party (NL/MN); green #067A5C,Founded 2002
parties.IN.NDPP,Nationalist Democratic Progressive Party,,,party-symbols/lion.svg,https://en.wikipedia.org/wiki/Nationalist_Democratic_Progressive_Party,,State party (NL); Lion symbol,Founded 2017 by Neiphiu Rio
parties.IN.MNF,Mizo National Front,,#2E5694,party-symbols/star.svg,https://en.wikipedia.org/wiki/Mizo_National_Front,,State party (MZ); Star symbol; navy #2E5694,Founded 1961
parties.IN.ZPM,Zoram People's Movement,,#0066AA,,https://en.wikipedia.org/wiki/Zoram_People%27s_Movement,,State party (MZ); blue #0066AA,Founded 2018
parties.IN.SKM,Sikkim Krantikari Morcha,,#ED1E26,party-symbols/table-lamp.png,https://en.wikipedia.org/wiki/Sikkim_Krantikari_Morcha,,State party (SK); Table-Lamp symbol; red #ED1E26,Founded 2013 by P.S. Tamang; symbol-asset aligned to canonical (table-lamp NOT umbrella - my earlier umbrella entry was wrong)
parties.IN.SDF,Sikkim Democratic Front,,,,https://en.wikipedia.org/wiki/Sikkim_Democratic_Front,,State party (SK); founded 1993 by Pawan Kumar Chamling,brand_colour DEFERRED - canonical has #FBEC5D yellow vs my pure blue #0000FF; SDF uses blue+orange palette per Wikipedia infobox; surface for curator review
parties.IN.AIUDF,All India United Democratic Front,সৰ্বভাৰতীয় সংযুক্ত গণতান্ত্রিক মৰ্চা,#348017,party-symbols/lock-and-key.webp,https://en.wikipedia.org/wiki/All_India_United_Democratic_Front,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=AIUDF,State party (AS); Lock-and-Key symbol; green #348017,Founded 2005; Assamese native script
parties.IN.RLD,Rashtriya Lok Dal,राष्ट्रीय लोक दल,#04A352,,https://en.wikipedia.org/wiki/Rashtriya_Lok_Dal,,State party (UP); green #04A352,Founded 1996 by Ajit Singh
parties.IN.SBSP,Suheldev Bharatiya Samaj Party,सुहेलदेव भारतीय समाज पार्टी,,,https://en.wikipedia.org/wiki/Suheldev_Bharatiya_Samaj_Party,,Unrecognised registered (UP); Om Prakash Rajbhar,Founded 2002; Rajbhar caste-base
parties.IN.AAPP,Apna Dal (Sonelal),अपना दल (सोनेलाल),#0E6FB3,party-symbols/cup-and-saucer.jpg,https://en.wikipedia.org/wiki/Apna_Dal_(Sonelal),,State party (UP); Cup-and-Saucer symbol; blue #0E6FB3,Founded 2016 split from Apna Dal; Anupriya Patel
parties.IN.AIFB,All India Forward Bloc,সর্বভারতীয় ফরওয়ার্ড ব্লক,#AC1313,party-symbols/lion.svg,https://en.wikipedia.org/wiki/All_India_Forward_Bloc,,State party (WB); Lion symbol; red #AC1313,Founded 1939 by Subhas Chandra Bose
parties.IN.RSP,Revolutionary Socialist Party,বিপ্লবী সমাজতান্ত্রিক দল,,party-symbols/spade-and-stoker.png,https://en.wikipedia.org/wiki/Revolutionary_Socialist_Party_(India),,State party (KL/WB); Spade-and-Stoker symbol,Founded 1940; symbol asset aligned to canonical .png extension
parties.IN.AINRC,All India N.R. Congress,அகில இந்திய என். ஆர். காங்கிரஸ்,#9FE2BF,party-symbols/all-india-nr-congress.png,https://en.wikipedia.org/wiki/All_India_N.R._Congress,,State party (PY); green #9FE2BF,Founded 2011 by N. Rangasamy
parties.IN.JKPC,Jammu and Kashmir People's Conference,جموں و کشمیر پیپلز کانفرنس,,,https://en.wikipedia.org/wiki/Jammu_%26_Kashmir_People%27s_Conference,,Unrecognised registered (JK); Sajad Lone,Founded 1978
parties.IN.RPI,Republican Party of India,रिपब्लिकन पार्टी ऑफ इंडिया,#36DDF0,,https://en.wikipedia.org/wiki/Republican_Party_of_India,,Unrecognised registered (MH); cyan #36DDF0,Founded 1956 by Dr. B.R. Ambedkar
parties.IN.RPIA,Republican Party of India (Athawale),रिपब्लिकन पार्टी ऑफ इंडिया (आठवले),#0080FF,,https://en.wikipedia.org/wiki/Republican_Party_of_India_(Athavale),,State party (MH); blue #0080FF,Founded 1999 by Ramdas Athawale
parties.IN.SWP,Swarajya Party,,,,https://en.wikipedia.org/wiki/Swaraj_Party_(2014),,Unrecognised registered; founded 2014,
parties.IN.GFP,Goa Forward Party,गोवा फॉरवर्ड पार्टी,#FF6347,,https://en.wikipedia.org/wiki/Goa_Forward_Party,,Unrecognised registered (GA); tomato #FF6347,Founded 2016 by Vijai Sardesai
parties.IN.MGP,Maharashtrawadi Gomantak Party,महाराष्ट्रवादी गोमंतक पक्ष,,,https://en.wikipedia.org/wiki/Maharashtrawadi_Gomantak_Party,,State party (GA); founded 1963,
parties.IN.GGP,Gondwana Gantantra Party,गोंडवाना गणतंत्र पार्टी,,,https://en.wikipedia.org/wiki/Gondwana_Gantantra_Party,,Unrecognised registered (MP/CT); founded 1991,Adivasi-Gond identity base
parties.IN.NPEP,National People's Party (Meghalaya regional),,,party-symbols/book.svg,https://en.wikipedia.org/wiki/National_People%27s_Party_(India),,Meghalaya regional precursor to NPP; founded 1981 by P.A. Sangma,Same lineage as parties.IN.NPP; legacy slug
parties.IN.KEC_M,Kerala Congress (M),കേരള കോൺഗ്രസ് (എം),,party-symbols/two-leaves.svg,https://en.wikipedia.org/wiki/Kerala_Congress_(M),,State party (KL); Two-Leaves symbol,Mani faction split from Kerala Congress 1979
parties.IN.NCP_K,Nationalist Congress Kerala,,,,https://en.wikipedia.org/wiki/Nationalist_Congress_Kerala,,Unrecognised registered (KL); 2024 split,
parties.IN.HSPDP,Hill State People's Democratic Party,,,,https://en.wikipedia.org/wiki/Hill_State_People%27s_Democratic_Party,,State party (ML); founded 1968,
parties.IN.UDP,United Democratic Party,,,,https://en.wikipedia.org/wiki/United_Democratic_Party_(Meghalaya),,State party (ML); founded 1972,
parties.IN.JD,Janata Dal,जनता दल,,,https://en.wikipedia.org/wiki/Janata_Dal,,Historic National party; founded 1988; defunct lineage,Predecessor to JDU/JDS/RJD/BJD/INLD/SP
parties.IN.JNP,Janata Party,जनता पार्टी,,,https://en.wikipedia.org/wiki/Janata_Party,,Historic National party (1977-1988); defunct,Predecessor to JD lineage; Subramanian Swamy continuation
parties.IN.BJS,Bharatiya Jana Sangh,भारतीय जनसंघ,#FF9933,,https://en.wikipedia.org/wiki/Bharatiya_Jana_Sangh,,Historic party (1951-1977); defunct,Predecessor to BJP; never backtag BJP rows to BJS
parties.IN.KEC,Kerala Congress,കേരള കോൺഗ്രസ്,,,https://en.wikipedia.org/wiki/Kerala_Congress,,State party (KL) historic; founded 1964,Splits include KEC_M and others
parties.IN.JP,Janata Party,जनता पार्टी,,,https://en.wikipedia.org/wiki/Janata_Party,,Historic National party (1977-1988); same as JNP,Legacy slug
parties.IN.MUL,Muslim League Kerala State Committee,മുസ്ലിം ലീഗ്,,,https://en.wikipedia.org/wiki/Indian_Union_Muslim_League,,Legacy slug for IUML Kerala body,Same lineage as IUML
parties.IN.RPK,Rashtriya Praja Congress,,,,,,Unrecognised registered (variant),Unverifiable
parties.IN.HJC,Haryana Janhit Congress,हरियाणा जनहित कांग्रेस,,,https://en.wikipedia.org/wiki/Haryana_Janhit_Congress_(BL),,State party (HR) historic; Bhajan Lal Bishnoi,Founded 2007
parties.IN.PWP,Peasants and Workers Party of India,शेतकरी कामगार पक्ष,,,https://en.wikipedia.org/wiki/Peasants_and_Workers_Party_of_India,,State party (MH); founded 1948,
parties.IN.HSP,Hindustani Awam Morcha (Secular),हिंदुस्तानी आवाम मोर्चा (सेक्युलर),,,https://en.wikipedia.org/wiki/Hindustani_Awam_Morcha,,Unrecognised registered (BR); Jitan Ram Manjhi,Founded 2015 split from JDU
