source_id,producer,title,vintage,url
src-435b3d7ff8d8,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Arunachal Pradesh, 2009",2009,
src-43a0412da466,Wikipedia,List of Chief Ministers of NCT of Delhi,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Delhi
src-4464feb580a6,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Himachal Pradesh, 1990",1990,
src-44984d9c7550,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S03 AcGenApr2021,AcGenApr2021,
src-44a71924a22f,"Vice President Office, Government of India",Shri C. P. Radhakrishnan sworn in as the 15th Vice President of India and Chairman of Rajya Sabha,"New Delhi | September 12, 2025; Last Updated: 12 Sep 2025",https://vicepresidentofindia.nic.in/pressrelease/shri-c-p-radhakrishnan-sworn-15th-vice-president-india-and-chairman-rajya-sabha
src-452390c16aa3,Wikipedia,List of Chief Ministers of Nagaland,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Nagaland
src-45a3fa08ffcd,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Gujarat, 1975",1975,
src-45e29dbc0a0b,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Bihar, 1990",1990,
src-46e657180a26,Wikipedia,List of Chief Ministers of Karnataka,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Karnataka
src-47a1875da793,Wikipedia,List of Chief Ministers of Rajasthan,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Rajasthan
src-47b48c02cae6,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Tripura, 1988",1988,
src-484300621f4c,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Rajasthan, 2013",2013,
src-48e68e28ee85,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Uttarakhand, 2007",2007,
src-4956697aa849,Wikipedia,List of Chief Ministers of Andhra Pradesh,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Andhra_Pradesh
src-4a224cbc1104,Wikipedia,List of Chief Ministers of Himachal Pradesh,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Himachal_Pradesh
src-4a2b60a351cb,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Tripura, 2008",2008,
src-4ad56b409556,Hindustan Times Labs,HTL state-AC shapefile bundle,2008 Delimitation,https://github.com/HindustanTimesLabs/shapefiles
src-4b69e709f7aa,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Rajasthan, 1990",1990,
src-4bc9bead980e,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Himachal Pradesh, 2012",2012,
src-4bea2515fd9d,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Maharashtra, 1972",1972,
src-4c63b70dbcf5,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Tamil Nadu, 2021",2021,
src-4c77ab7c8b18,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S16 AcGenNov2023,AcGenNov2023,https://www.eci.gov.in/eci-backend/public/all_files/full-statistical-reports/mizoram/2023/Detailed_Results.xlsx
src-4c95d17fcd6e,Reserve Bank of India,"Handbook of Statistics on Indian Economy 2024-25, Table 10 (Per Capita Net State Domestic Product - State-wise, At Constant Prices)",2024-25,https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=Handbook+of+Statistics+on+Indian+Economy
src-4cf8378fae18,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of West Bengal, 2006",2006,
src-4d8c80f8c8fe,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Karnataka, 2013",2013,
src-4d91103b76b2,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Sikkim, 1994",1994,
src-4e7dcb7b944b,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S19 AcGenFeb2022,AcGenFeb2022,
src-4e9b0b454302,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Mizoram, 1993",1993,
src-4ead503ee617,Rajya Sabha Secretariat (Government of India),Rajya Sabha Session 260 Unstarred Question 1323,2023-08-01,https://sansad.in/rs/questions/questions-and-answers
src-4ef9618d1761,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Kerala, 1991",1991,
src-4f1bf04ee531,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Maharashtra, 1999",1999,
src-4f2938c732e7,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Bihar, 2005",2005,
src-4f3e1970eaf3,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Odisha, 2014",2014,
src-4f52acd5570b,Wikipedia,List of Chief Ministers of Telangana,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Telangana
src-4f63186fa7cf,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Mizoram, 2018",2018,
src-508c8fe83f5c,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Tripura, 1993",1993,
src-50c93d074c18,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Rajasthan, 2008",2008,
src-514f13de303b,Reserve Bank of India,State Finances: A Study of Budgets - Combined Gross Fiscal Deficit of All State Governments (INR crore),2025-26,https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=State+Finances+%3A+A+Study+of+Budgets
src-5230abac31bb,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Uttar Pradesh, 2007",2007,
src-5340fdfa9ce7,Wikipedia,2025 Delhi Legislative Assembly election,2025-02,https://en.wikipedia.org/wiki/2025_Delhi_Legislative_Assembly_election
src-542153f504f1,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Gujarat, 2007",2007,
src-549efa82d0e1,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Madhya Pradesh, 2018",2018,
src-54cc5d1d9ea0,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Manipur, 2012",2012,
src-54f6e93c0fed,Wikipedia,List of Chief Ministers of Chhattisgarh,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Chhattisgarh
src-552aabf4ecb2,Reserve Bank of India,Handbook of Statistics on Indian States - Table 171: State-wise Pension,2024-25,https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=Handbook+of+Statistics+on+Indian+States
src-557fb8688652,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Puducherry, 2006",2006,
src-558e9e7bac87,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Maharashtra, 2019",2019,
src-56c66222c3c2,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Tamil Nadu, 2011",2011,
src-56eb8a46d677,Election Commission of India,Statistical Report Section 10 (Detailed Results) — U05 AcGenFeb2020,AcGenFeb2020,
src-56fb5ea6721a,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of West Bengal, 1982",1982,
src-57ddd8c183e5,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Haryana, 1991",1991,
src-583eefc7cbc9,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Arunachal Pradesh, 1990",1990,
src-5923beb34b97,Wikipedia,List of Chief Ministers of Jharkhand,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Jharkhand
src-599f7493d18f,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Madhya Pradesh, 2013",2013,
src-5a1b3a8e1619,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S15 AcGenFeb2023,AcGenFeb2023,
src-5a55ef1114cd,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Goa, 1999",1999,
src-5ae945f7f814,Wikipedia,List of Chief Ministers of Jammu and Kashmir (UT),,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Jammu_and_Kashmir
src-5b2670ea594e,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Maharashtra, 2009",2009,
src-5c0c9c3de1ed,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Uttar Pradesh, 2012",2012,
src-5c93205c875f,NITI Aayog India Climate & Energy Dashboard,"Key Economic Indicators API — GVA at constant prices by industry (national, INR crore)",2024-25,https://icedapi.niti.gov.in/economy-demography/key-economic-indicators/gva-trend
src-5cc96aeab15f,Wikipedia,List of Chief Ministers of Sikkim,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Sikkim
src-5dd3d997bf7a,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Assam, 2006",2006,
src-5e771ccbbdee,Reserve Bank of India,"State Finances: A Study of Budgets, Statement 17 (Devolution and Transfer of Resources from the Centre - Net)",2025-26,https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=State+Finances+%3A+A+Study+of+Budgets
src-5ea8e5f3b5d7,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Karnataka, 1978",1978,
src-6051c0ba2605,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Sikkim, 1979",1979,
src-606ae1d0586b,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of NCT of Delhi, 2013",2013,
src-6215471dcc6d,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Tamil Nadu, 1980",1980,
