entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-bihar-1,bihar,2005,DHANAHA,120846,63287,52.37,RAJESH SINGH,parties.IN.RJD,RJD,19389,30.64,RAMADHAR YADAV,parties.IN.SP,SP,13287,6102,9.65,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-12,bihar,2005,MOTIHARI,249145,121972,48.96,PRAMOD KUMAR,parties.IN.BJP,BJP,46595,38.2,RAMA DEVI,parties.IN.RJD,RJD,33258,13337,10.93,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-13,bihar,2005,ADAPUR,211221,107928,51.1,SHYAM BIHARI PRASAD,parties.IN.JDU,JD(U),38025,35.23,RAMBABU PRASAD YADAV,parties.IN.RJD,RJD,18362,19663,18.22,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-14,bihar,2005,DHAKA,230980,101662,44.01,AWANEESH KUMAR SINGH,parties.IN.BJP,BJP,32738,32.2,NEK MOHAMMAD,parties.IN.LJP,LJP,21469,11269,11.08,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-15,bihar,2005,GHORASAHAN,198424,94135,47.44,LAKSHMI NARAYAN PRASAD YADAV,parties.IN.RJD,RJD,26644,28.3,NEK MAHAMMAD,parties.IN.LJP,LJP,17528,9116,9.68,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-16,bihar,2005,MADHUBAN,209821,94887,45.22,RANA RANDHIR,parties.IN.RJD,RJD,39777,41.92,SHIVJEE RAI,parties.IN.JDU,JD(U),36586,3191,3.36,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-17,bihar,2005,PIPRA,186797,88289,47.26,KRISHNA NANDAN PASWAN,parties.IN.BJP,BJP,37758,42.77,SURENDRA KUMAR CHANDRA ALIAS SATISH,parties.IN.RJD,RJD,25895,11863,13.44,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-18,bihar,2005,KESARIYA,204201,85101,41.68,OBAIDULLAH,parties.IN.JDU,JD(U),26234,30.83,RAJESH KUMAR RAUSHAN ALIAS BABALU DEO,parties.IN.RJD,RJD,17286,8948,10.52,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-19,bihar,2005,HARSIDHI,194962,95013,48.73,AWADHESH PRASAD KUSHWAHA,parties.IN.LJP,LJP,36755,38.68,MAHESHWAR SINGH,parties.IN.JDU,JD(U),28791,7964,8.38,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-20,bihar,2005,GOBINDGANJ,207340,89763,43.29,MINA DVIWEDI,parties.IN.JDU,JD(U),31325,34.9,RAJAN TIWARI,parties.IN.LJP,LJP,22947,8378,9.34,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-21,bihar,2005,KATEYA,221084,96084,43.46,AMRENDRA KUMAR PANDEY,parties.IN.BSP,BSP,49087,51.09,KIRAN DEVI,parties.IN.RJD,RJD,31957,17130,17.83,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-22,bihar,2005,BHORE,221501,88159,39.8,ANIL KUMAR,parties.IN.RJD,RJD,34299,38.91,SURENDER RAM,parties.IN.LJP,LJP,17464,16835,19.1,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-23,bihar,2005,MIRGANJ,206936,86656,41.88,RAMSEWAK SINGH,parties.IN.JDU,JD(U),19442,22.44,BABUDDIN KHAN,parties.IN.INC,INC,12827,6615,7.64,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-24,bihar,2005,GOPALGANJ,227549,95680,42.05,REYAZUL HAQUE ALIAS 'RAJU',parties.IN.BSP,BSP,27885,29.14,SUBASH SINGH,parties.IN.LJP,LJP,24587,3298,3.44,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-25,bihar,2005,BARAULI,198827,90053,45.29,RAMPRAVESH RAI,parties.IN.BJP,BJP,26077,28.96,M. NEMTULAH,parties.IN.RJD,RJD,20919,5158,5.73,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-26,bihar,2005,BAIKUNTHPUR,220582,100051,45.36,DEO DUTT PRASAD,parties.IN.RJD,RJD,36095,36.08,MANJEET KUMAR SINGH,parties.IN.JDU,JD(U),25719,10376,10.37,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-27,bihar,2005,BASANTPUR,202939,94642,46.64,MANIK CHAND RAI,parties.IN.RJD,RJD,44462,46.98,SRI SATYADEO PRASAD SINGH,parties.IN.BJP,BJP,28362,16100,17.01,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-28,bihar,2005,GOREAKOTHI,179367,85058,47.42,BHUMENDRA NARAIAN SINGH,parties.IN.BJP,BJP,30637,36.02,INDRADEO PRASAD,parties.IN.RJD,RJD,29408,1229,1.45,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-29,bihar,2005,SIWAN,205998,86960,42.21,AWADH BIHARI CHAUDHARY,parties.IN.RJD,RJD,39666,45.61,VYASDEO PRASAD,parties.IN.BJP,BJP,26754,12912,14.84,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-30,bihar,2005,MAIRWA,180387,78344,43.43,SATYA DEV RAM,parties.IN.CPIMLL,CPI(ML)(L),26655,34.02,SHIV KUMAR MANJHI,parties.IN.RJD,RJD,15884,10771,13.75,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-31,bihar,2005,DARAULI,191204,80437,42.07,AMAR NATH YADAV,parties.IN.CPIMLL,CPI(ML)(L),25197,30.1,SHEO SHANKER YADAV,parties.IN.RJD,RJD,23624,1573,1.88,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-32,bihar,2005,ZIRADEI,171051,72729,42.52,AZAZUL HAQUE,parties.IN.RJD,RJD,31757,43.66,SHYAM BAHADUR SINGH,parties.IN.JDU,JD(U),28691,3066,4.21,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-33,bihar,2005,MAHARAJGANJ,179414,81699,45.54,DAMODAR SINGH,parties.IN.JDU,JD(U),39293,48.09,UMASHANKAR SINGH,parties.IN.RJD,RJD,30635,8658,10.59,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-34,bihar,2005,RAGHUNATHPUR,198043,88685,44.78,JAGMATO DEVI,parties.IN.IND,IND,28138,31.73,QAMARUL HAQUE,parties.IN.IND,IND,17534,10604,11.96,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-35,bihar,2005,MANJHI,193201,88666,45.89,GAUTAM SINGH,parties.IN.JDU,JD(U),26349,29.72,RABINDRA NATH MISHRA,parties.IN.INC,INC,21192,5157,5.82,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-36,bihar,2005,BANIAPUR,184247,85093,46.18,MANORANJAN SINGH,parties.IN.LJP,LJP,32724,38.46,RAM BAHADUR RAI,parties.IN.RJD,RJD,24618,8106,9.53,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-37,bihar,2005,MASRAKH,186273,80661,43.3,TARKESHWAR SINGH,parties.IN.IND,IND,28250,35.02,KEDAR NATH SINGH,parties.IN.JDU,JD(U),21081,7169,8.88,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-38,bihar,2005,TARAIYA,183510,80053,43.62,JANAK SINGH,parties.IN.LJP,LJP,22241,27.78,RAMDAS ROY,parties.IN.RJD,RJD,21743,498,0.62,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-39,bihar,2005,MARHAURA,181745,79865,43.94,LAL BABU RAY,parties.IN.IND,IND,29424,36.84,YADU BANSHI RAY,parties.IN.RJD,RJD,18457,10967,13.73,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-40,bihar,2005,JALALPUR,214184,91149,42.56,JANARDAN SINGH 'SIGRIWAL',parties.IN.BJP,BJP,28192,30.93,BALAGUL MOBIN,parties.IN.RJD,RJD,27548,644,0.71,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-41,bihar,2005,CHAPRA,225881,91562,40.54,RAM PARVASH RAI,parties.IN.JDU,JD(U),33776,36.89,UDIT RAI,parties.IN.RJD,RJD,31527,2249,2.46,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-42,bihar,2005,GARKHA,182834,79584,43.53,RAGHUNANDAN MANJHI,parties.IN.IND,IND,28787,36.17,MUNESHWAR CHAUDHARY,parties.IN.RJD,RJD,23603,5184,6.51,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-43,bihar,2005,PARSA,203243,83880,41.27,CHANDRIKA RAY,parties.IN.RJD,RJD,36597,43.63,CHHOTELAL RAI,parties.IN.JDU,JD(U),33525,3072,3.66,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-44,bihar,2005,SONEPUR,205012,93030,45.38,RAMANUJ PRASAD,parties.IN.RJD,RJD,47680,51.25,VINAY KUMAR SINGH,parties.IN.BJP,BJP,37129,10551,11.34,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-45,bihar,2005,HAJIPUR,231700,118745,51.25,NITYANAND ROY,parties.IN.BJP,BJP,53910,45.4,RAJENDRA ROY,parties.IN.LJP,LJP,24974,28936,24.37,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-46,bihar,2005,RAGHOPUR,215001,97198,45.21,RABRI DEVI,parties.IN.RJD,RJD,48680,50.08,RAJIV RANJAN,parties.IN.LJP,LJP,23419,25261,25.99,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-47,bihar,2005,MAHNAR,196887,96605,49.07,RAMA KISHOR SINGH,parties.IN.LJP,LJP,42597,44.09,MUNSHI LAL RAI,parties.IN.RJD,RJD,32406,10191,10.55,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-48,bihar,2005,JANDAHA,211919,103479,48.83,ACHIDANAND SINGH ALIN DR. ACHYUTANAND,parties.IN.LJP,LJP,39993,38.65,UMESH SINGH KUSHWAHA,parties.IN.RJD,RJD,24644,15349,14.83,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-49,bihar,2005,PATEPUR,195714,92148,47.08,MAHENDRA BAITHA,parties.IN.LJP,LJP,35217,38.22,PREMA CHOUDHARY,parties.IN.RJD,RJD,33679,1538,1.67,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-50,bihar,2005,MAHUA,186619,90715,48.61,SHIV CHAND RAM,parties.IN.RJD,RJD,34738,38.29,MEENA DEVI,parties.IN.LJP,LJP,28380,6358,7.01,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-51,bihar,2005,LALGANJ,196722,98980,50.31,VIJAY KUMAR SHUKLA,parties.IN.LJP,LJP,48614,49.11,VEENA DEVI,parties.IN.RJD,RJD,30725,17889,18.07,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-52,bihar,2005,VAISHALI,200725,94671,47.16,BRISHIN PATEL,parties.IN.JDU,JD(U),38041,40.18,VEENA SHAHI,parties.IN.INC,INC,36204,1837,1.94,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-53,bihar,2005,PARU,204070,105723,51.81,MITHILESH PRASAD YADAV,parties.IN.RJD,RJD,38076,36.01,ASHOK KUMAR SINGH,parties.IN.BJP,BJP,34060,4016,3.79,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-54,bihar,2005,SAHEBGANJ,192800,101130,52.45,RAJU KUMAR SINGH,parties.IN.LJP,LJP,45474,44.97,RAM VICHAR RAI,parties.IN.RJD,RJD,32874,12600,12.46,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-55,bihar,2005,BARURAJ,201168,98648,49.04,BRIJ KISHOR SINGH,parties.IN.RJD,RJD,33788,34.25,SHASHI KUMAR RAI,parties.IN.JDU,JD(U),25645,8143,8.25,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-56,bihar,2005,KANTI,188846,102246,54.14,AJIT KUMAR,parties.IN.LJP,LJP,38987,38.13,MD. JAMAL,parties.IN.RJD,RJD,34819,4168,4.08,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-57,bihar,2005,KURHANI,198326,103785,52.33,MANOJ KUMAR SINGH,parties.IN.JDU,JD(U),29531,28.45,BASAWAN PRASAD BHAGAT,parties.IN.RJD,RJD,23579,5952,5.73,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-58,bihar,2005,SAKRA,181797,96506,53.08,BILAT PASWAN,parties.IN.JDU,JD(U),37685,39.05,DR. SHITAL RAM,parties.IN.RJD,RJD,30338,7347,7.61,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-59,bihar,2005,MUZAFFARPUR,273876,130799,47.76,VIJENDRA CHAUDHARY,parties.IN.IND,IND,50884,38.9,SURESH KUMAR SHARMA,parties.IN.BJP,BJP,36064,14820,11.33,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-60,bihar,2005,BOCHAHA,216580,112254,51.83,RAMAI RAM,parties.IN.RJD,RJD,50956,45.39,SHIV NATH CHOUDHARY,parties.IN.JDU,JD(U),33432,17524,15.61,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-61,bihar,2005,GAIGHATTI,188769,89288,47.3,MAHESHWAR PASAD YADAV,parties.IN.RJD,RJD,31969,35.8,ASHOK KUMAR SINGH,parties.IN.JDU,JD(U),21077,10892,12.19,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-62,bihar,2005,AURAI,180255,85099,47.21,ARJUN RAY,parties.IN.JDU,JD(U),52327,61.49,GANESH PRASAD YADAV,parties.IN.RJD,RJD,21140,31187,36.65,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-63,bihar,2005,MINAPUR,194381,97127,49.97,HIND KESHARI YADAV,parties.IN.RJD,RJD,32849,33.82,DINESH PRASAD,parties.IN.JDU,JD(U),30992,1857,1.91,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-64,bihar,2005,RUNISAIDPUR,214798,99601,46.37,BHOLA RAI,parties.IN.RJD,RJD,29924,30.04,AZAM HUSSAIN ANWAR,parties.IN.LJP,LJP,26148,3776,3.79,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-65,bihar,2005,BELSAND,181159,86739,47.88,SUNITA SINGH,parties.IN.LJP,LJP,28958,33.39,RAM SWARTH ROY,parties.IN.RJD,RJD,21753,7205,8.31,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-66,bihar,2005,SHEOHAR,210776,98762,46.86,AJIT KUMAR JHA,parties.IN.RJD,RJD,26409,26.74,THAKUR RATNAKAR,parties.IN.JDU,JD(U),20858,5551,5.62,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-67,bihar,2005,SITAMARHI,239622,108339,45.21,SUNIL KUMAR ALIAS PINTU,parties.IN.BJP,BJP,51447,47.49,MOHAMMAD TAHIR,parties.IN.RJD,RJD,27683,23764,21.94,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-68,bihar,2005,BATHNAHA,214907,103259,48.05,NAGINA DEVI,parties.IN.LJP,LJP,30797,29.83,SURYADEO RAI,parties.IN.RJD,RJD,26378,4419,4.28,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-69,bihar,2005,MAJORGANJ,187871,79656,42.4,DINKAR RAM,parties.IN.BJP,BJP,29161,36.61,LALITA DEVI,parties.IN.RJD,RJD,22117,7044,8.84,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-70,bihar,2005,SONBARSA,203783,96936,47.57,DR. RAM CHANDRA PURBEY,parties.IN.RJD,RJD,37774,38.97,MD. ANWARUL HAQUE,parties.IN.LJP,LJP,29189,8585,8.86,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-71,bihar,2005,SURSAND,201324,93778,46.58,JAI NANDAN PRASAD YADAV,parties.IN.RJD,RJD,26012,27.74,BAIDYANATH PRASAD,parties.IN.BJP,BJP,18831,7181,7.66,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
