lgd_state_code,state_name,lgd_district_code,district_name,census_2001_code,census_2011_code
4,Chandigarh,44,Chandigarh,1,55
5,Uttarakhand,45,Almora,9,64
5,Uttarakhand,46,Bageshwar,8,63
5,Uttarakhand,47,Chamoli,2,57
5,Uttarakhand,48,Champawat,10,65
5,Uttarakhand,49,Dehradun,5,60
5,Uttarakhand,50,Haridwar,13,68
5,Uttarakhand,51,Nainital,11,66
5,Uttarakhand,52,Pauri Garhwal,6,61
5,Uttarakhand,53,Pithoragarh,7,62
5,Uttarakhand,54,Rudraprayag,3,58
5,Uttarakhand,55,Tehri Garhwal,4,59
5,Uttarakhand,56,Udham Singh Nagar,12,67
5,Uttarakhand,57,Uttarkashi,1,56
6,Haryana,58,Ambala,2,70
6,Haryana,59,Bhiwani,13,81
6,Haryana,60,Faridabad,19,88
6,Haryana,61,Fatehabad,10,78
6,Haryana,62,Gurugram,18,86
6,Haryana,63,Hisar,12,80
6,Haryana,64,Jhajjar,15,83
6,Haryana,65,Jind,9,77
6,Haryana,66,Kaithal,5,73
6,Haryana,67,Karnal,6,74
6,Haryana,68,Kurukshetra,4,72
6,Haryana,69,Mahendragarh,16,84
6,Haryana,70,Panchkula,1,69
6,Haryana,71,Panipat,7,75
6,Haryana,72,Rewari,17,85
6,Haryana,73,Rohtak,14,82
6,Haryana,74,Sirsa,11,79
6,Haryana,75,Sonipat,8,76
6,Haryana,76,Yamunanagar,3,71
6,Haryana,604,Nuh,0,87
6,Haryana,619,Palwal,0,89
6,Haryana,701,Charkhi Dadri,0,0
6,Haryana,792,Hansi,0,0
7,Delhi,77,Central,6,95
7,Delhi,78,East,4,93
7,Delhi,79,New Delhi,5,94
7,Delhi,80,North,2,91
7,Delhi,81,North East,3,92
7,Delhi,82,North West,1,90
7,Delhi,83,South,9,98
7,Delhi,84,South West,8,97
7,Delhi,85,West,7,96
7,Delhi,670,South East,0,0
7,Delhi,794,Outer North,0,0
7,Delhi,795,Old Delhi,0,0
7,Delhi,796,Central North,0,0
8,Rajasthan,86,Ajmer,21,119
8,Rajasthan,87,Alwar,6,104
8,Rajasthan,88,Banswara,28,125
8,Rajasthan,89,Baran,31,128
8,Rajasthan,90,Barmer,17,115
8,Rajasthan,91,Bharatpur,7,105
8,Rajasthan,92,Bhilwara,24,122
8,Rajasthan,93,Bikaner,3,101
8,Rajasthan,94,Bundi,23,121
8,Rajasthan,95,Chittorgarh,29,126
8,Rajasthan,96,Churu,4,102
8,Rajasthan,97,Dausa,11,109
8,Rajasthan,98,Dholpur,8,106
8,Rajasthan,99,Dungarpur,27,124
8,Rajasthan,100,Ganganagar,1,99
8,Rajasthan,101,Hanumangarh,2,100
8,Rajasthan,102,Jaipur,12,110
8,Rajasthan,103,Jaisalmer,16,114
8,Rajasthan,104,Jalore,18,116
8,Rajasthan,105,Jhalawar,32,129
8,Rajasthan,106,Jhunjhunu,5,103
8,Rajasthan,107,Jodhpur,15,113
8,Rajasthan,108,Karauli,9,107
8,Rajasthan,109,Kota,30,127
8,Rajasthan,110,Nagaur,14,112
8,Rajasthan,111,Pali,20,118
8,Rajasthan,112,Rajsamand,25,123
8,Rajasthan,113,Sawai Madhopur,10,108
8,Rajasthan,114,Sikar,13,111
8,Rajasthan,115,Sirohi,19,117
8,Rajasthan,116,Tonk,22,120
8,Rajasthan,117,Udaipur,26,130
8,Rajasthan,629,Pratapgarh,0,131
8,Rajasthan,767,Deeg,0,0
8,Rajasthan,768,Didwana-Kuchaman,0,0
8,Rajasthan,770,Khairthal-Tijara,0,0
8,Rajasthan,772,Phalodi,0,0
8,Rajasthan,774,Beawar,0,0
8,Rajasthan,775,Balotra,0,0
8,Rajasthan,777,Salumbar,0,0
8,Rajasthan,782,Kotputli-Behror,0,0
9,Uttar Pradesh,118,Agra,15,146
9,Uttar Pradesh,119,Aligarh,12,143
9,Uttar Pradesh,120,Prayagraj,45,175
9,Uttar Pradesh,121,Ambedkar Nagar,48,178
9,Uttar Pradesh,122,Auraiya,32,162
9,Uttar Pradesh,123,Azamgarh,61,191
9,Uttar Pradesh,124,Baghpat,8,139
9,Uttar Pradesh,125,Bahraich,50,180
9,Uttar Pradesh,126,Ballia,63,193
9,Uttar Pradesh,127,Balrampur,52,182
9,Uttar Pradesh,128,Banda,40,170
9,Uttar Pradesh,129,Bara Banki,46,176
9,Uttar Pradesh,130,Bareilly,20,150
9,Uttar Pradesh,131,Basti,55,185
9,Uttar Pradesh,132,Bijnor,3,134
9,Uttar Pradesh,133,Budaun,19,149
9,Uttar Pradesh,134,Bulandshahr,11,142
9,Uttar Pradesh,135,Chandauli,66,196
9,Uttar Pradesh,136,Chitrakoot,41,171
9,Uttar Pradesh,137,Deoria,60,190
9,Uttar Pradesh,138,Etah,17,201
9,Uttar Pradesh,139,Etawah,31,161
9,Uttar Pradesh,140,Ayodhya,47,177
9,Uttar Pradesh,141,Farrukhabad,29,159
9,Uttar Pradesh,142,Fatehpur,42,172
9,Uttar Pradesh,143,Firozabad,16,147
9,Uttar Pradesh,144,Gautam Buddha Nagar,10,141
9,Uttar Pradesh,145,Ghaziabad,9,140
9,Uttar Pradesh,146,Ghazipur,65,195
9,Uttar Pradesh,147,Gonda,53,183
9,Uttar Pradesh,148,Gorakhpur,58,188
9,Uttar Pradesh,149,Hamirpur,38,168
9,Uttar Pradesh,150,Hardoi,25,155
9,Uttar Pradesh,151,Jalaun,35,165
9,Uttar Pradesh,152,Jaunpur,64,194
9,Uttar Pradesh,153,Jhansi,36,166
9,Uttar Pradesh,154,Amroha,6,137
9,Uttar Pradesh,155,Kannauj,30,160
9,Uttar Pradesh,156,Kanpur Dehat,33,163
9,Uttar Pradesh,157,Kanpur Nagar,34,164
9,Uttar Pradesh,158,Kaushambi,44,174
9,Uttar Pradesh,159,Kheri,23,153
9,Uttar Pradesh,160,Kushinagar,59,189
9,Uttar Pradesh,161,Lalitpur,37,167
9,Uttar Pradesh,162,Lucknow,27,157
9,Uttar Pradesh,163,Hathras,13,144
9,Uttar Pradesh,164,Mahrajganj,57,187
9,Uttar Pradesh,165,Mahoba,39,169
9,Uttar Pradesh,166,Mainpuri,18,148
9,Uttar Pradesh,167,Mathura,14,145
9,Uttar Pradesh,168,Mau,62,192
9,Uttar Pradesh,169,Meerut,7,138
9,Uttar Pradesh,170,Mirzapur,69,199
9,Uttar Pradesh,171,Moradabad,4,135
9,Uttar Pradesh,172,Muzaffarnagar,2,133
9,Uttar Pradesh,173,Pilibhit,21,151
9,Uttar Pradesh,174,Pratapgarh,43,173
9,Uttar Pradesh,175,Rae Bareli,28,158
9,Uttar Pradesh,176,Rampur,5,136
9,Uttar Pradesh,177,Saharanpur,1,132
9,Uttar Pradesh,178,Sant Kabir Nagar,56,186
9,Uttar Pradesh,179,Bhadohi,68,198
9,Uttar Pradesh,180,Shahjahanpur,22,152
9,Uttar Pradesh,181,Shrawasti,51,181
9,Uttar Pradesh,182,Siddharthnagar,54,184
9,Uttar Pradesh,183,Sitapur,24,154
9,Uttar Pradesh,184,Sonbhadra,70,200
9,Uttar Pradesh,185,Sultanpur,49,179
9,Uttar Pradesh,186,Unnao,26,156
9,Uttar Pradesh,187,Varanasi,67,197
9,Uttar Pradesh,633,Kasganj,0,202
9,Uttar Pradesh,640,Amethi,0,0
9,Uttar Pradesh,659,Sambhal,0,0
9,Uttar Pradesh,660,Shamli,0,0
9,Uttar Pradesh,661,Hapur,0,0
10,Bihar,188,Araria,7,209
10,Bihar,189,Aurangabad,34,235
10,Bihar,190,Banka,23,225
10,Bihar,191,Begusarai,20,222
10,Bihar,192,Bhagalpur,22,224
10,Bihar,193,Bhojpur,29,231
10,Bihar,194,Buxar,30,232
10,Bihar,195,Darbhanga,13,215
10,Bihar,196,Gaya,35,236
10,Bihar,197,Gopalganj,15,217
10,Bihar,198,Jamui,37,238
10,Bihar,199,Jehanabad,33,239
10,Bihar,200,Kaimur (Bhabua),31,233
10,Bihar,201,Katihar,10,212
10,Bihar,202,Khagaria,21,223
10,Bihar,203,Kishanganj,8,210
10,Bihar,204,Lakhisarai,25,227
10,Bihar,205,Madhepura,11,213
10,Bihar,206,Madhubani,5,207
10,Bihar,207,Munger,24,226
10,Bihar,208,Muzaffarpur,14,216
10,Bihar,209,Nalanda,27,229
10,Bihar,210,Nawada,36,237
10,Bihar,211,Pashchim Champaran,1,203
10,Bihar,212,Patna,28,230
10,Bihar,213,Purbi Champaran,2,204
10,Bihar,214,Purnia,9,211
10,Bihar,215,Rohtas,32,234
10,Bihar,216,Saharsa,12,214
10,Bihar,217,Samastipur,19,221
10,Bihar,218,Saran,17,219
10,Bihar,219,Sheikhpura,26,228
10,Bihar,220,Sheohar,3,205
10,Bihar,221,Sitamarhi,4,206
10,Bihar,222,Siwan,16,218
10,Bihar,223,Supaul,6,208
10,Bihar,224,Vaishali,18,220
10,Bihar,611,Arwal,33,240
11,Sikkim,225,Gangtok,4,244
11,Sikkim,226,Mangan,1,241
11,Sikkim,227,Namchi,3,243
11,Sikkim,228,Gyalshing,2,242
11,Sikkim,741,Pakyong,0,0
11,Sikkim,742,Soreng,0,0
12,Arunachal Pradesh,229,Changlang,12,253
12,Arunachal Pradesh,230,Dibang Valley,10,257
12,Arunachal Pradesh,231,East Kameng,3,247
12,Arunachal Pradesh,232,East Siang,8,251
12,Arunachal Pradesh,233,Kurung Kumey,14,256
12,Arunachal Pradesh,234,Lohit,11,259
12,Arunachal Pradesh,235,Lower Dibang Valley,15,258
12,Arunachal Pradesh,236,Lower Subansiri,5,255
12,Arunachal Pradesh,237,Papum Pare,4,248
12,Arunachal Pradesh,238,Tawang,1,245
12,Arunachal Pradesh,239,Tirap,13,254
12,Arunachal Pradesh,240,Upper Siang,9,252
12,Arunachal Pradesh,241,Upper Subansiri,6,249
12,Arunachal Pradesh,242,West Kameng,2,246
12,Arunachal Pradesh,243,West Siang,7,250
12,Arunachal Pradesh,628,Anjaw,0,260
12,Arunachal Pradesh,666,Longding,0,0
12,Arunachal Pradesh,677,Kra Daadi,0,0
12,Arunachal Pradesh,678,Namsai,0,0
12,Arunachal Pradesh,679,Siang,0,0
12,Arunachal Pradesh,718,Kamle,0,0
12,Arunachal Pradesh,719,Lower Siang,0,0
12,Arunachal Pradesh,723,Pakke Kessang,0,0
12,Arunachal Pradesh,724,Leparada,0,0
12,Arunachal Pradesh,725,Shi Yomi,0,0
12,Arunachal Pradesh,786,Keyi Panyor,0,0
12,Arunachal Pradesh,787,Bichom,0,0
13,Nagaland,244,Dimapur,6,265
13,Nagaland,245,Kohima,7,270
13,Nagaland,246,Mokokchung,3,262
13,Nagaland,247,Mon,1,261
13,Nagaland,248,Phek,8,266
13,Nagaland,249,Tuensang,2,267
13,Nagaland,250,Wokha,5,264
13,Nagaland,251,Zunheboto,4,263
13,Nagaland,613,Peren,7,271
13,Nagaland,614,Kiphire,2,269
13,Nagaland,615,Longleng,2,268
13,Nagaland,736,Noklak,0,0
13,Nagaland,757,Tseminyu,0,0
13,Nagaland,758,Chumoukedima,0,0
13,Nagaland,764,Niuland,0,0
13,Nagaland,765,Shamator,0,0
13,Nagaland,788,Meluri,0,0
14,Manipur,252,Bishnupur,4,275
14,Manipur,253,Chandel,9,280
14,Manipur,254,Churachandpur,3,274
14,Manipur,255,Imphal East,7,278
14,Manipur,256,Imphal West,6,277
14,Manipur,257,Senapati,1,272
14,Manipur,258,Tamenglong,2,273
14,Manipur,259,Thoubal,5,276
14,Manipur,260,Ukhrul,8,279
14,Manipur,711,Kakching,0,0
14,Manipur,712,Kangpokpi,0,0
14,Manipur,713,Jiribam,0,0
14,Manipur,714,Noney,0,0
14,Manipur,715,Pherzawl,0,0
14,Manipur,716,Tengnoupal,0,0
14,Manipur,717,Kamjong,0,0
15,Mizoram,261,Aizawl,3,283
15,Mizoram,262,Champhai,4,284
15,Mizoram,263,Kolasib,2,282
15,Mizoram,264,Lawngtlai,7,287
15,Mizoram,265,Lunglei,6,286
15,Mizoram,266,Mamit,1,281
15,Mizoram,267,Siaha,8,288
15,Mizoram,268,Serchhip,5,285
15,Mizoram,726,Hnahthial,0,0
15,Mizoram,727,Saitual,0,0
15,Mizoram,728,Khawzawl,0,0
16,Tripura,269,Dhalai,3,291
16,Tripura,270,North Tripura,4,292
16,Tripura,271,South Tripura,2,290
16,Tripura,272,West Tripura,1,289
16,Tripura,652,Khowai,0,0
16,Tripura,653,Sepahijala,0,0
16,Tripura,654,Gomati,0,0
16,Tripura,655,Unakoti,0,0
17,Meghalaya,273,East Garo Hills,2,294
17,Meghalaya,274,East Khasi Hills,6,298
17,Meghalaya,275,West Jaintia Hills,7,299
17,Meghalaya,276,Ri Bhoi,5,297
17,Meghalaya,277,South Garo Hills,3,295
17,Meghalaya,278,West Garo Hills,1,293
17,Meghalaya,279,West Khasi Hills,4,296
17,Meghalaya,656,North Garo Hills,0,0
17,Meghalaya,657,East Jaintia Hills,0,0
17,Meghalaya,658,South West Khasi Hills,0,0
17,Meghalaya,663,South West Garo Hills,0,0
17,Meghalaya,740,Eastern West Khasi Hills,0,0
18,Assam,280,Barpeta,5,303
18,Assam,281,Bongaigaon,4,319
18,Assam,282,Cachar,21,316
18,Assam,283,Darrang,8,325
18,Assam,284,Dhemaji,13,308
18,Assam,285,Dhubri,2,301
18,Assam,286,Dibrugarh,15,310
18,Assam,287,Goalpara,3,302
18,Assam,288,Golaghat,18,313
18,Assam,289,Hailakandi,23,318
18,Assam,290,Jorhat,17,312
18,Assam,291,Kamrup,6,321
18,Assam,292,Karbi Anglong,19,314
18,Assam,293,Sribhumi,22,317
18,Assam,294,Kokrajhar,1,300
18,Assam,295,Lakhimpur,12,307
18,Assam,296,Marigaon,9,304
18,Assam,297,Nagaon,10,305
18,Assam,298,Nalbari,7,323
18,Assam,299,Dima Hasao,20,315
18,Assam,300,Sivasagar,16,311
18,Assam,301,Sonitpur,11,306
18,Assam,302,Tinsukia,14,309
18,Assam,612,Chirang,0,320
18,Assam,616,Baksa,0,324
18,Assam,617,Udalguri,0,326
18,Assam,618,Kamrup Metro,0,322
18,Assam,705,Biswanath,0,0
18,Assam,706,Majuli,0,0
18,Assam,707,South Salmara Mancachar,0,0
18,Assam,708,Charaideo,0,0
18,Assam,709,Hojai,0,0
18,Assam,710,West Karbi Anglong,0,0
18,Assam,739,Bajali,0,0
18,Assam,756,Tamulpur,0,0
19,West Bengal,303,North 24 Parganas,11,337
19,West Bengal,304,South 24 Parganas,18,343
19,West Bengal,305,Bankura,13,339
19,West Bengal,306,Purba Bardhaman,9,335
19,West Bengal,307,Birbhum,8,334
19,West Bengal,308,Cooch Behar,3,329
19,West Bengal,309,Darjeeling,1,327
19,West Bengal,310,Dakshin Dinajpur,5,331
19,West Bengal,311,Uttar Dinajpur,4,330
19,West Bengal,312,Hooghly,12,338
19,West Bengal,313,Howrah,16,341
19,West Bengal,314,Jalpaiguri,2,328
19,West Bengal,315,Kolkata,17,342
19,West Bengal,316,Malda,6,332
19,West Bengal,317,Purba Medinipur,15,345
19,West Bengal,318,Paschim Medinipur,15,344
19,West Bengal,319,Murshidabad,7,333
19,West Bengal,320,Nadia,10,336
19,West Bengal,321,Purulia,14,340
19,West Bengal,664,Alipurduar,0,0
19,West Bengal,702,Kalimpong,0,0
19,West Bengal,703,Jhargram,0,0
19,West Bengal,704,Paschim Bardhaman,0,0
20,Jharkhand,322,Bokaro,13,355
20,Jharkhand,323,Chatra,3,347
20,Jharkhand,324,Deoghar,7,350
20,Jharkhand,325,Dhanbad,12,354
20,Jharkhand,326,Dumka,11,362
20,Jharkhand,327,East Singhbum,18,357
20,Jharkhand,328,Garhwa,1,346
20,Jharkhand,329,Giridih,6,349
20,Jharkhand,330,Godda,8,351
20,Jharkhand,331,Gumla,16,366
20,Jharkhand,332,Hazaribagh,4,360
20,Jharkhand,333,Jamtara,20,363
20,Jharkhand,334,Koderma,5,348
20,Jharkhand,335,Latehar,2,359
20,Jharkhand,336,Lohardaga,15,356
20,Jharkhand,337,Pakur,10,353
20,Jharkhand,338,Palamu,2,358
20,Jharkhand,339,Ranchi,14,364
20,Jharkhand,340,Sahebganj,9,352
20,Jharkhand,341,Saraikela Kharsawan,17,369
20,Jharkhand,342,Simdega,21,367
20,Jharkhand,343,West Singhbhum,17,368
20,Jharkhand,606,Khunti,14,365
20,Jharkhand,607,Ramgarh,4,361
21,Odisha,344,Angul,15,384
21,Odisha,345,Balangir,24,393
21,Odisha,346,Balasore,8,377
21,Odisha,347,Bargarh,1,370
21,Odisha,348,Bhadrak,9,378
21,Odisha,349,Boudh,22,391
21,Odisha,350,Cuttack,12,381
21,Odisha,351,Deogarh,4,373
21,Odisha,352,Dhenkanal,14,383
21,Odisha,353,Gajapati,20,389
21,Odisha,354,Ganjam,19,388
21,Odisha,355,Jagatsinghapur,11,380
21,Odisha,356,Jajpur,13,382
21,Odisha,357,Jharsuguda,2,371
21,Odisha,358,Kalahandi,26,395
21,Odisha,359,Kandhamal,21,390
21,Odisha,360,Kendrapara,10,379
21,Odisha,361,Keonjhar,6,375
21,Odisha,362,Khordha,17,386
21,Odisha,363,Koraput,29,398
21,Odisha,364,Malkangiri,30,399
21,Odisha,365,Mayurbhanj,7,376
21,Odisha,366,Nabarangpur,28,397
21,Odisha,367,Nayagarh,16,385
21,Odisha,368,Nuapada,25,394
21,Odisha,369,Puri,18,387
21,Odisha,370,Rayagada,27,396
21,Odisha,371,Sambalpur,3,372
21,Odisha,372,Sonepur,23,392
21,Odisha,373,Sundargarh,5,374
22,Chhattisgarh,374,Bastar,15,414
22,Chhattisgarh,375,Bilaspur,7,406
22,Chhattisgarh,376,Dakshin Bastar Dantewada,16,416
22,Chhattisgarh,377,Dhamtari,13,412
22,Chhattisgarh,378,Durg,10,409
22,Chhattisgarh,379,Janjgir-Champa,6,405
22,Chhattisgarh,380,Jashpur,3,402
22,Chhattisgarh,381,Uttar Bastar Kanker,14,413
22,Chhattisgarh,382,Kabeerdham,8,407
22,Chhattisgarh,383,Korba,5,404
22,Chhattisgarh,384,Korea,1,400
22,Chhattisgarh,385,Mahasamund,12,411
22,Chhattisgarh,386,Raigarh,4,403
22,Chhattisgarh,387,Raipur,11,410
22,Chhattisgarh,388,Rajnandgaon,9,408
22,Chhattisgarh,389,Surguja,2,401
22,Chhattisgarh,636,Bijapur,16,417
22,Chhattisgarh,637,Narayanpur,0,415
22,Chhattisgarh,642,Sukma,0,0
22,Chhattisgarh,643,Kondagaon,0,0
22,Chhattisgarh,644,Balodabazar-Bhatapara,0,0
22,Chhattisgarh,645,Gariyaband,0,0
22,Chhattisgarh,646,Balod,0,0
22,Chhattisgarh,647,Mungeli,0,0
22,Chhattisgarh,648,Surajpur,0,0
22,Chhattisgarh,649,Balrampur-Ramanujganj,0,0
22,Chhattisgarh,650,Bemetara,0,0
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,0,0
22,Chhattisgarh,759,Khairagarh-Chhuikhadan-Gandai,0,0
22,Chhattisgarh,760,Manendragarh-Chirmiri-Bharatpur(M C B),0,0
22,Chhattisgarh,761,Mohla-Manpur-Ambagarh Chouki,0,0
22,Chhattisgarh,762,Sakti,0,0
22,Chhattisgarh,763,Sarangarh-Bilaigarh,0,0
23,Madhya Pradesh,390,Anuppur,16,461
23,Madhya Pradesh,391,Ashoknagar,46,459
23,Madhya Pradesh,392,Balaghat,45,457
23,Madhya Pradesh,393,Barwani,28,441
23,Madhya Pradesh,394,Betul,35,447
23,Madhya Pradesh,395,Bhind,3,420
23,Madhya Pradesh,396,Bhopal,32,444
23,Madhya Pradesh,397,Burhanpur,29,467
23,Madhya Pradesh,398,Chhatarpur,9,425
23,Madhya Pradesh,399,Chhindwara,43,455
23,Madhya Pradesh,400,Damoh,12,428
23,Madhya Pradesh,401,Datia,5,422
23,Madhya Pradesh,402,Dewas,23,437
23,Madhya Pradesh,403,Dhar,25,438
23,Madhya Pradesh,404,Dindori,41,453
23,Madhya Pradesh,405,Khandwa (East Nimar),29,466
23,Madhya Pradesh,406,Guna,7,458
23,Madhya Pradesh,407,Gwalior,4,421
23,Madhya Pradesh,408,Harda,36,448
23,Madhya Pradesh,409,Narmadapuram,37,449
23,Madhya Pradesh,410,Indore,26,439
23,Madhya Pradesh,411,Jabalpur,39,451
23,Madhya Pradesh,412,Jhabua,24,464
23,Madhya Pradesh,413,Katni,38,450
23,Madhya Pradesh,414,Khargone (West Nimar),27,440
23,Madhya Pradesh,415,Mandla,42,454
23,Madhya Pradesh,416,Mandsaur,19,433
23,Madhya Pradesh,417,Morena,2,419
23,Madhya Pradesh,418,Narsimhapur,40,452
23,Madhya Pradesh,419,Neemuch,18,432
23,Madhya Pradesh,420,Panna,10,426
23,Madhya Pradesh,421,Raisen,34,446
23,Madhya Pradesh,422,Rajgarh,30,442
23,Madhya Pradesh,423,Ratlam,20,434
23,Madhya Pradesh,424,Rewa,14,430
23,Madhya Pradesh,425,Sagar,11,427
23,Madhya Pradesh,426,Satna,13,429
23,Madhya Pradesh,427,Sehore,33,445
23,Madhya Pradesh,428,Seoni,44,456
23,Madhya Pradesh,429,Shahdol,16,460
23,Madhya Pradesh,430,Shajapur,22,436
23,Madhya Pradesh,431,Sheopur,1,418
23,Madhya Pradesh,432,Shivpuri,6,423
23,Madhya Pradesh,433,Sidhi,17,462
23,Madhya Pradesh,434,Tikamgarh,8,424
23,Madhya Pradesh,435,Ujjain,21,435
23,Madhya Pradesh,436,Umaria,15,431
23,Madhya Pradesh,437,Vidisha,31,443
23,Madhya Pradesh,638,Singrauli,0,463
23,Madhya Pradesh,639,Alirajpur,24,465
23,Madhya Pradesh,667,Agar-Malwa,0,0
23,Madhya Pradesh,722,Niwari,0,0
23,Madhya Pradesh,766,MAUGANJ,0,0
23,Madhya Pradesh,784,Maihar,0,0
23,Madhya Pradesh,785,Pandhurna,0,0
24,Gujarat,438,Ahmedabad,7,474
24,Gujarat,439,Amreli,13,480
24,Gujarat,440,Anand,15,482
24,Gujarat,441,Banas Kantha,2,469
24,Gujarat,442,Bharuch,21,488
24,Gujarat,443,Bhavnagar,14,481
24,Gujarat,444,Dangs,23,489
24,Gujarat,445,Dahod,18,485
24,Gujarat,446,Gandhinagar,6,473
24,Gujarat,447,Jamnagar,10,477
24,Gujarat,448,Junagadh,12,479
24,Gujarat,449,Kachchh,1,468
24,Gujarat,450,Kheda,16,483
24,Gujarat,451,Mahesana,4,471
24,Gujarat,452,Narmada,20,487
24,Gujarat,453,Navsari,24,490
24,Gujarat,454,Panch Mahals,17,484
24,Gujarat,455,Patan,3,470
24,Gujarat,456,Porbandar,11,478
24,Gujarat,457,Rajkot,9,476
24,Gujarat,458,Sabar Kantha,5,472
24,Gujarat,459,Surat,22,492
24,Gujarat,460,Surendranagar,8,475
24,Gujarat,461,Vadodara,19,486
24,Gujarat,462,Valsad,25,491
24,Gujarat,641,Tapi,0,493
24,Gujarat,668,Chhotaudepur,0,0
24,Gujarat,669,Mahisagar,0,0
24,Gujarat,672,Arvalli,0,0
24,Gujarat,673,Morbi,0,0
24,Gujarat,674,Devbhumi Dwarka,0,0
24,Gujarat,675,Gir Somnath,0,0
24,Gujarat,676,Botad,0,0
24,Gujarat,789,Vav-Tharad,0,0
27,Maharashtra,466,Ahilyanagar,26,522
27,Maharashtra,467,Akola,5,501
27,Maharashtra,468,Amravati,7,503
27,Maharashtra,469,Chhatrapati Sambhajinagar,19,515
27,Maharashtra,470,Beed,27,523
27,Maharashtra,471,Bhandara,10,506
27,Maharashtra,472,Buldhana,4,500
27,Maharashtra,473,Chandrapur,13,509
27,Maharashtra,474,Dhule,2,498
27,Maharashtra,475,Gadchiroli,12,508
27,Maharashtra,476,Gondia,11,507
27,Maharashtra,477,Hingoli,16,512
27,Maharashtra,478,Jalgaon,3,499
27,Maharashtra,479,Jalna,18,514
27,Maharashtra,480,Kolhapur,34,530
27,Maharashtra,481,Latur,28,524
27,Maharashtra,482,Mumbai,23,519
27,Maharashtra,483,Mumbai Suburban,22,518
27,Maharashtra,484,Nagpur,9,505
27,Maharashtra,485,Nanded,15,511
27,Maharashtra,486,Nandurbar,1,497
27,Maharashtra,487,Nashik,20,516
27,Maharashtra,488,Dharashiv,29,525
27,Maharashtra,489,Parbhani,17,513
27,Maharashtra,490,Pune,25,521
27,Maharashtra,491,Raigad,24,520
27,Maharashtra,492,Ratnagiri,32,528
27,Maharashtra,493,Sangli,35,531
27,Maharashtra,494,Satara,31,527
27,Maharashtra,495,Sindhudurg,33,529
27,Maharashtra,496,Solapur,30,526
27,Maharashtra,497,Thane,21,517
27,Maharashtra,498,Wardha,8,504
27,Maharashtra,499,Washim,6,502
27,Maharashtra,500,Yavatmal,14,510
27,Maharashtra,665,Palghar,0,0
28,Andhra Pradesh,502,Ananthapuramu,22,553
28,Andhra Pradesh,503,Chittoor,23,554
28,Andhra Pradesh,504,Y.S.R. Kadapa,20,551
28,Andhra Pradesh,505,East Godavari,14,545
28,Andhra Pradesh,506,Guntur,17,548
28,Andhra Pradesh,510,Krishna,16,547
28,Andhra Pradesh,511,Kurnool,21,552
28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,19,550
28,Andhra Pradesh,517,Prakasam,18,549
